article_id,title,source,date,url,file_path,query_family,query_id,rule_candidate,oil_role,final_label,confidence,reason,evidence_phrase,edible_oil_terms,adulteration_action_terms,negative_terms,llm_label,llm_confidence,llm_reason,llm_model,query_used,crawl_priority
3033,Expired Mustard Oil Seized in Hazaribag Food Safety Raid,indiatimes.com,2026-04-07,https://timesofindia.indiatimes.com/city/ranchi/expired-mustard-oil-seized-in-hazaribag-food-safety-raid/articleshow/130094279.cms,,title_only,title_oils_enforcement,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,Expired Mustard Oil Seized in Hazaribag Food Safety Raid https://timesofindia.indiatimes.com/city/ranchi/expired-mustard-oil-seized-in-hazaribag-food-safety,mustard oil,seized; raid; food safety,,,,,,"((article_title:""edible oil"" OR article_title:""cooking oil"" OR article_title:""vegetable oil"" OR article_title:""refined oil"" OR article_title:""loose oil"" OR article_title:""loose edible oil"" OR article_title:""mustard oil"" OR article_title:""palm oil"" OR article_title:""soybean oil"" OR article_title:""sunflower oil"" OR article_title:""groundnut oil"" OR article_title:""coconut oil"" OR article_title:""rice bran oil"" OR article_title:""cottonseed oil"" OR article_title:""sesame oil"" OR article_title:""olive oil"" OR article_title:""rapeseed-mustard oil"") AND (article_title:FSSAI OR article_title:FDA OR article_title:FSDA OR article_title:""food safety"" OR article_title:""food safety department"" OR article_title:""food safety officer"" OR article_title:raid* OR article_title:seiz* OR article_title:""sample collected"" OR article_title:""samples collected"" OR article_title:""samples sent"" OR article_title:""lab test"" OR article_title:""quality test"" OR article_title:prosecut* OR article_title:penal* OR article_title:fine OR article_title:ban* OR article_title:""license suspended"" OR article_title:""licence suspended"" OR article_title:""shop sealed"" OR article_title:warehouse OR article_title:godown OR article_title:arrest* OR article_title:crackdown OR article_title:inspection) AND language:en) AND NOT (ghee OR vanaspati)",high
3034,"Illegal samosa making unit busted in Hyderabad’s Jiyaguda; stale eggs, used cooking oil seized",thehindu.com,2026-03-21,https://www.thehindu.com/news/cities/Hyderabad/illegal-samosa-making-unit-busted-in-hyderabads-jiyaguda-stale-eggs-used-cooking-oil-seized/article70768563.ece,,title_only,title_oils_enforcement,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"Illegal samosa making unit busted in Hyderabad’s Jiyaguda; stale eggs, used cooking oil seized https://www.thehindu.com/news/cities/Hyderabad/illegal-samosa-making-unit-busted-in-hyderabads-jiya",cooking oil,seized,,,,,,"((article_title:""edible oil"" OR article_title:""cooking oil"" OR article_title:""vegetable oil"" OR article_title:""refined oil"" OR article_title:""loose oil"" OR article_title:""loose edible oil"" OR article_title:""mustard oil"" OR article_title:""palm oil"" OR article_title:""soybean oil"" OR article_title:""sunflower oil"" OR article_title:""groundnut oil"" OR article_title:""coconut oil"" OR article_title:""rice bran oil"" OR article_title:""cottonseed oil"" OR article_title:""sesame oil"" OR article_title:""olive oil"" OR article_title:""rapeseed-mustard oil"") AND (article_title:FSSAI OR article_title:FDA OR article_title:FSDA OR article_title:""food safety"" OR article_title:""food safety department"" OR article_title:""food safety officer"" OR article_title:raid* OR article_title:seiz* OR article_title:""sample collected"" OR article_title:""samples collected"" OR article_title:""samples sent"" OR article_title:""lab test"" OR article_title:""quality test"" OR article_title:prosecut* OR article_title:penal* OR article_title:fine OR article_title:ban* OR article_title:""license suspended"" OR article_title:""licence suspended"" OR article_title:""shop sealed"" OR article_title:warehouse OR article_title:godown OR article_title:arrest* OR article_title:crackdown OR article_title:inspection) AND language:en) AND NOT (ghee OR vanaspati)",high
1093,Is Your Mustard Oil Real? Adulteration Found In Crores Of Indian Kitchens,news18.com,2026-03-17,https://www.news18.com/lifestyle/food/is-your-mustard-oil-real-adulteration-found-in-crores-of-indian-kitchens-test-yours-in-2-minutes-ws-e-9981533.html,,boolean,boolean_named_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,Is Your Mustard Oil Real? Adulteration Found In Crores Of Indian Kitchens https://www.news18.com/lifestyle/food/is-your-mustard-oil-real-a,mustard oil,adulteration,,,,,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
138,"Madhapur SOT busts adulterated cooking oil racket, two arrested",etemaaddaily.com,2026-03-10,https://www.en.etemaaddaily.com/world/hyderabad/madhapur-sot-busts-adulterated-cooking-oil-racket-two-arrested:191020,,boolean,boolean_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"Madhapur SOT busts adulterated cooking oil racket, two arrested https://www.en.etemaaddaily.com/world/hyderabad/madhapur-sot-busts-adulterated-cooking-oil-racket-two-arrested:191020",cooking oil,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
1108,"Coconut Oil Purity Test: FSSAI shares simple trick to detect adulteration in the oil you use for hair, skin and food",indiatimes.com,2026-03-10,https://economictimes.indiatimes.com/news/new-updates/coconut-oil-purity-test-fssai-shares-simple-trick-to-detect-adulteration-in-the-oil-you-use-for-hair-skin-and-food/articleshow/129389742.cms,,boolean,boolean_named_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"Coconut Oil Purity Test: FSSAI shares simple trick to detect adulteration in the oil you use for hair, skin and food https://economictimes.indiatimes.com/news/new-updates/co",coconut oil,adulteration; FSSAI,,,,,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
148,Over 4 lakh litres seized in drive against substandard edible oil in UP,news18.com,2026-02-28,https://www.news18.com/agency-feeds/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up-9935864.html,,boolean,boolean_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,Over 4 lakh litres seized in drive against substandard edible oil in UP https://www.news18.com/agency-feeds/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up-9935864.html,edible oil,substandard; seized,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
155,"10,000 Kg Rotten Dates And Adulterated Oil Seized: What Kanpur’s Festival Crackdown Reveals",thelogicalindian.com,2026-02-26,https://thelogicalindian.com/10000-kg-rotten-dates-and-adulterated-oil-seized-what-kanpurs-festival-crackdown-reveals/,,boolean,boolean_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"10,000 Kg Rotten Dates And Adulterated Oil Seized: What Kanpur’s Festival Crackdown Reveals https://thelogicalindian.com/10000-kg-rotten-dates",,adulterated; seized; crackdown,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
4070,"Kanpur: Family Tragedy, Adulterated Oil Seized, Policy Announcements &More",indiatimes.com,2026-02-26,https://timesofindia.indiatimes.com/videos/ai-top-news/kanpur-family-tragedy-adulterated-oil-seized-policy-announcements-more/videoshow/128817874.cms,,proximity,proximity_oil_seized,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"Kanpur: Family Tragedy, Adulterated Oil Seized, Policy Announcements &More https://timesofindia.indiatimes.com/videos/ai-top-news/kanpur-fa",,adulterated; seized,,,,,,"(""oil seized""~8 AND language:en) AND NOT (ghee OR vanaspati)",high
164,"Food safety teams seize adulterated khoya in Agra, edible oil in Mânagar",indiatimes.com,2026-02-22,https://timesofindia.indiatimes.com/city/agra/food-safety-teams-seize-adulterated-khoya-in-agra-edible-oil-in-mnagar/articleshow/128652372.cms,,boolean,boolean_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"Food safety teams seize adulterated khoya in Agra, edible oil in Mânagar https://timesofindia.indiatimes.com/city/agra/food-safety-teams-seize-adulterated-khoya-in-agra-edible-oil-in-mnagar/articleshow/128652372.cms",edible oil,adulterated; food safety,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
166,Sale of adulterated coconut oil: farmers elated over SHRC’s intervention,thehindu.com,2026-02-19,https://www.thehindu.com/news/national/kerala/sale-of-adulterated-coconut-oil-farmers-elated-over-shrcs-intervention/article70651539.ece,,boolean,boolean_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,Sale of adulterated coconut oil: farmers elated over SHRC’s intervention https://www.thehindu.com/news/national/kerala/sale-of-adul,coconut oil,adulterated,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
2966,40 liters of unsafe cooking oil and 40 kg rotten tomatoes found in a popular fast food outlet in Jaipur,indiatimes.com,2026-02-13,https://timesofindia.indiatimes.com/life-style/food-news/40-liters-of-unsafe-cooking-oil-and-40-kg-rotten-tomatoes-found-in-a-popular-fast-food-outlet-in-jaipur/articleshow/128305861.cms,,title_only,title_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,40 liters of unsafe cooking oil and 40 kg rotten tomatoes found in a popular fast food outlet in Jaipur https://timesofindia.indiat,cooking oil,unsafe,,,,,,"((article_title:""edible oil"" OR article_title:""cooking oil"" OR article_title:""vegetable oil"" OR article_title:""refined oil"" OR article_title:""loose oil"" OR article_title:""loose edible oil"") AND (article_title:adulterat* OR article_title:contaminat* OR article_title:misbrand* OR article_title:substandard OR article_title:spurious OR article_title:fake OR article_title:counterfeit OR article_title:rancid OR article_title:""reused oil"" OR article_title:""recycled oil"" OR article_title:""unsafe oil"" OR article_title:""unsafe cooking oil"" OR article_title:""unsafe edible oil"" OR article_title:""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
2967,Fake cooking oil supply deal costs Thane businessman Rs 50 lakh,mid-day.com,2026-01-02,https://www.mid-day.com/mumbai/mumbai-crime-news/article/thane-businessman-cheated-of-rs-50-lakh-in-fake-cooking-oil-deal-23610294,,title_only,title_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,Fake cooking oil supply deal costs Thane businessman Rs 50 lakh https://www.mid-day.com/mumbai/mumbai-crime-news/art,cooking oil,fake,,,,,,"((article_title:""edible oil"" OR article_title:""cooking oil"" OR article_title:""vegetable oil"" OR article_title:""refined oil"" OR article_title:""loose oil"" OR article_title:""loose edible oil"") AND (article_title:adulterat* OR article_title:contaminat* OR article_title:misbrand* OR article_title:substandard OR article_title:spurious OR article_title:fake OR article_title:counterfeit OR article_title:rancid OR article_title:""reused oil"" OR article_title:""recycled oil"" OR article_title:""unsafe oil"" OR article_title:""unsafe cooking oil"" OR article_title:""unsafe edible oil"" OR article_title:""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
184,"'Detergent, Urea, Refined Oil': Alleged Milk Adulteration Racket Busted In Mumbai's Andheri; Viral Video Reveals Shocking Details",freepressjournal.in,2025-12-27,https://www.freepressjournal.in/mumbai/detergent-urea-refined-oil-alleged-milk-adulteration-racket-busted-in-mumbais-andheri-viral-video-reveals-shocking-details,,boolean,boolean_core_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"'Detergent, Urea, Refined Oil': Alleged Milk Adulteration Racket Busted In Mumbai's Andheri; Viral Video Reveals Shocking Details https://www.freepressjourna",refined oil,adulteration,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
3042,"Ludhiana: Fast food joint’s cooking oil fails quality test, say Health dept",hindustantimes.com,2025-12-04,https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-fast-food-joint-s-cooking-oil-fails-quality-test-say-health-dept-101764785730988.html,,title_only,title_oils_enforcement,True,adulterated_product,relevant,0.82,Edible-oil term appears close to adulteration/enforcement language.,"Ludhiana: Fast food joint’s cooking oil fails quality test, say Health dept https://www.hindustantimes.com/cities/chandigarh-news",cooking oil,quality test,,,,,,"((article_title:""edible oil"" OR article_title:""cooking oil"" OR article_title:""vegetable oil"" OR article_title:""refined oil"" OR article_title:""loose oil"" OR article_title:""loose edible oil"" OR article_title:""mustard oil"" OR article_title:""palm oil"" OR article_title:""soybean oil"" OR article_title:""sunflower oil"" OR article_title:""groundnut oil"" OR article_title:""coconut oil"" OR article_title:""rice bran oil"" OR article_title:""cottonseed oil"" OR article_title:""sesame oil"" OR article_title:""olive oil"" OR article_title:""rapeseed-mustard oil"") AND (article_title:FSSAI OR article_title:FDA OR article_title:FSDA OR article_title:""food safety"" OR article_title:""food safety department"" OR article_title:""food safety officer"" OR article_title:raid* OR article_title:seiz* OR article_title:""sample collected"" OR article_title:""samples collected"" OR article_title:""samples sent"" OR article_title:""lab test"" OR article_title:""quality test"" OR article_title:prosecut* OR article_title:penal* OR article_title:fine OR article_title:ban* OR article_title:""license suspended"" OR article_title:""licence suspended"" OR article_title:""shop sealed"" OR article_title:warehouse OR article_title:godown OR article_title:arrest* OR article_title:crackdown OR article_title:inspection) AND language:en) AND NOT (ghee OR vanaspati)",high
1229,"Inspection throws up health scare in form of expired foods, fake oil",indiatimes.com,2025-12-03,https://timesofindia.indiatimes.com/city/jaipur/inspection-throws-up-health-scare-in-form-of-expired-foods-fake-oil/articleshow/125727900.cms,,boolean,boolean_named_oils_fraud,True,adulterated_product,relevant,0.94,Pattern says edible oil is the adulterated/seized/failed product.,"Inspection throws up health scare in form of expired foods, fake oil https://timesofindia.indiatimes.com/city/jaipur/inspection-throws-up-health-scare-in-form-of-expire",,fake; inspection,,,,,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",high
