article_id,title,source,date,url,food_category,qwen_model_label,qwen_validation_confidence,event_count,claim_statuses,food_items,adulterants,issue_types,locations,regulatory_actions,classifier_label,classifier_score,classifier_model,accepted_triplet_count,schema_gap_count,unresolved_triplet_count,rejected_triplet_count,qwen_completed_at
oil-c94e003c369b3450,Hyderabad: Food safety inspection flags unsafe oil at KFC outlet in Kondapur,siasat.com,2026-05-05,https://www.siasat.com/hyderabad-food-safety-inspection-flags-unsafe-oil-at-kfc-outlet-in-kondapur-3465689/,Edible Oil,unclear,0.95,1,suspected,cooking oil,,unsafe_food | substandard,"Hyderabad, Telangana, India",Action is being initiated against the outlet,irrelevant,0.4695679377765578,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,6,8,2026-07-29T16:05:35Z
oil-42c4efcdce45e35d,Food safety administration flags substandard food products,nagalandpost.com,2026-04-29,https://nagalandpost.com/food-safety-administration-flags-substandard-food-products/,Edible Oil,relevant_event,0.95,1,suspected,Mast Health Multi-source Edible Oil,,substandard,"Dimapur, Nagaland, India",public notice | legal proceedings,irrelevant,0.2974,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,2,0,4,13,2026-07-29T02:13:36Z
oil-d5d0fcd9c566a8e6,Cyberabad food adulteration raids Hyderabad Rs 64 lakh seizure 28 arrested,indiatoday.in,2026-04-23,https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,Edible Oil,unclear,0.85,1,suspected,edible oil,,adulteration,"Hyderabad, Telangana, India",seizure,relevant,0.9327,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",4,0,6,10,2026-07-29T18:12:07Z
oil-fcda56b4bb45ffd3,"Cyberabad Cops Book 28, Seize Adulterated Food Worth Rs 64 Lakh",deccanchronicle.com,2026-04-22,https://www.deccanchronicle.com/southern-states/telangana/cyberabad-cops-book-28-seize-adulterated-food-worth-rs-64-lakh-1952140,Edible Oil,unclear,0.85,1,suspected,edible oil,,adulteration,"Cyberabad, Telangana, India",booking of persons | seizure of goods,,,,0,0,1,9,2026-07-29T23:11:21Z
oil-ce4031737a7654b3,"22 cases booked in Cyberabad food adulteration crackdown, ₹64 lakh worth goods seized",thehindu.com,2026-04-22,https://www.thehindu.com/news/cities/Hyderabad/22-cases-booked-in-cyberabad-food-adulteration-crackdown-64-lakh-worth-goods-seized/article70892711.ece,Edible Oil,relevant_event,0.95,1,alleged,edible oil,,adulteration,"Cyberabad, Telangana, India",case_booked | seizure,relevant,0.9433,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,2,0,0,18,2026-07-29T17:06:13Z
oil-c0e8fd0149fa83c4,Food Adulteration: Barnala admin imposes Rs 2L fine,indiatimes.com,2026-04-12,https://timesofindia.indiatimes.com/city/chandigarh/food-adulteration-barnala-admin-imposes-rs-2l-fine/articleshow/130198058.cms,Edible Oil,unclear,0.85,1,suspected,mustard oil | cooking oil,,substandard,"Barnala, Punjab, India",Rs 2.25 lakh fine,,,,2,0,4,4,2026-07-29T14:59:55Z
oil-48d56f0dc43d0ecc,Expired Mustard Oil Seized in Hazaribag Food Safety Raid | Ranchi News - The Times of India,indiatimes.com,2026-04-07,https://timesofindia.indiatimes.com/city/ranchi/expired-mustard-oil-seized-in-hazaribag-food-safety-raid/articleshow/130094279.cms,Edible Oil,relevant_event,0.95,1,suspected,mustard oil,,substandard | prohibited_additive,"Hazaribag, Jharkhand, India",seizure | legal action,relevant,0.7962744115817022,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",3,0,2,5,2026-07-29T02:45:18Z
oil-97103cc7b062d80c,"Over 5,000 litres of adulterated cooking oil seized in Gachibowli; expired wheat flour repackaged for sale",thehindu.com,2026-03-10,https://www.thehindu.com/news/cities/Hyderabad/over-5000-litres-of-adulterated-cooking-oil-seized-in-gachibowli-expired-wheat-flour-repackaged-for-sale/article70724996.ece,Edible Oil,relevant_event,0.95,1,suspected,cooking oil | soybean oil,expired cooking oil,adulteration | substitution,"Hyderabad, Gachibowli, Telangana, India",seizure | raid,relevant,0.921465990480022,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",3,0,5,2,2026-07-29T10:51:38Z
oil-8826c3388f25a8b2,"Adulterated cooking oil, wheat flour worth Rs 21 lakh seized in Hyderabad",siasat.com,2026-03-10,https://www.siasat.com/adulterated-cooking-oil-wheat-flour-worth-rs-21-lakh-seized-in-hyderabad-3432488/,Edible Oil,relevant_event,0.95,1,alleged,cooking oil,expired cooking oil,adulteration | substandard | mislabeling,"Hyderabad, Gachibowli, Telangana, India",raid | seizure,relevant,0.8719484829011432,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",2,0,4,4,2026-07-29T08:45:49Z
oil-d479413f1e610f85,FSDA seizes adulterated food worth  ₹12.34 crore in UP,hindustantimes.com,2026-03-02,https://www.hindustantimes.com/cities/lucknow-news/fsda-seizes-adulterated-food-worth-12-34-crore-in-up-101772463235324.html,Edible Oil,relevant_event,0.95,1,alleged,edible oil,,adulteration,"Uttar Pradesh, India",Seizure of adulterated food and oil,relevant,0.862371830448324,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",2,0,1,7,2026-07-29T17:56:20Z
oil-af7d37f8450fbc59,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,indiatimes.com,2026-02-26,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,Edible Oil,unclear,0.85,1,suspected,edible oil,unspecified adulterant,adulteration,"Kanpur, Uttar Pradesh, India",seizure,relevant,0.8388143717855862,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,10,9,2026-07-29T13:41:43Z
oil-1852e8a212bd5903,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh",businesstoday.in,2026-02-26,https://www.businesstoday.in/bt-tv/whats-hot/video/holi-crackdown-30000-oil-packs-seized-tonnes-of-fake-paneer-destroyed-across-uttar-pradesh-518082-2026-02-26?utm_source=rssfeed,Edible Oil,relevant_event,0.95,1,suspected,edible oil,,adulteration | substandard,"Kanpur Dehat, Uttar Pradesh, India",seizure,irrelevant,0.4750736034499782,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",4,0,1,5,2026-07-28T21:52:57Z
oil-898a1362002b727d,"Food safety teams seize adulterated khoya in Agra, edible oil in Mânagar | Agra News - The Times of India",indiatimes.com,2026-02-22,https://timesofindia.indiatimes.com/city/agra/food-safety-teams-seize-adulterated-khoya-in-agra-edible-oil-in-mnagar/articleshow/128652372.cms,Edible Oil,unclear,0.95,1,suspected,edible oil | mustard oil | rice bran oil,colouring material,adulteration,"Muzaffarnagar, Uttar Pradesh, India",seizure | premises sealed | criminal proceedings likely,relevant,0.929834459709838,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,9,6,2026-07-29T09:04:50Z
oil-a4f6b6de8fcb2c3d,Sale of adulterated coconut oil: farmers elated over SHRC’s intervention,thehindu.com,2026-02-19,https://www.thehindu.com/news/national/kerala/sale-of-adulterated-coconut-oil-farmers-elated-over-shrcs-intervention/article70651539.ece,Edible Oil,relevant_event,0.95,1,suspected,coconut oil,adulterated coconut oil,adulteration | substandard,"Kozhikode, Kerala, India",urgent inquiry directive,relevant,0.8516265033531835,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",3,0,8,9,2026-07-29T12:41:21Z
oil-fce8e94a4d2c92b5,McDonald’s Outlet In Jaipur Under Scanner After Food Safety Violations Found During Surprise Check; 40 Litres Of Oil & 40 Kgs Rotten Tomatoes Destroyed,freepressjournal.in,2026-02-11,https://www.freepressjournal.in/viral/mcdonalds-outlet-in-jaipur-under-scanner-after-food-safety-violations-found-during-surprise-check-40-liters-of-oil-40-kgs-rotten-tomatoes-destroyed,Edible Oil,unclear,0.95,1,suspected,palm oil,Total Polar Compounds,unsafe_food | substandard,"Jaipur, Rajasthan, India",destruction of oil | formal improvement notice,,,,0,0,7,13,2026-07-29T23:15:44Z
oil-fd16f7be050ea2b9,The Vitamin D trap: How âfortifiedâ oil poisoned Punjab homes,indiatimes.com,2025-12-29,https://timesofindia.indiatimes.com/city/chandigarh/the-vitamin-d-trap-how-fortified-oil-poisoned-punjab-homes/articleshow/126219580.cms,Edible Oil,relevant_event,0.95,1,lab_confirmed,edible oil,Vitamin D,adulteration | substandard | mislabeling,"Rajpura, Patiala, Punjab, India",court proceedings | public advisories | raids,relevant,0.8302,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,4,0,11,15,2026-07-29T23:19:25Z
oil-d6d2041d0727d059,"Inspection throws up health scare in form of expired foods, fake oil | Jaipur News - The Times of India",indiatimes.com,2025-12-03,https://timesofindia.indiatimes.com/city/jaipur/inspection-throws-up-health-scare-in-form-of-expired-foods-fake-oil/articleshow/125727900.cms,Edible Oil,relevant_event,0.95,1,suspected,groundnut oil,,counterfeit | substandard,"Jaipur, Rajasthan, India",seizure | sample collection,relevant,0.7491401562006129,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,3,12,2026-07-29T18:16:01Z
oil-69a4843e2e016e1e,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,indiatimes.com,2025-10-15,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,Edible Oil,unclear,0.95,1,suspected,edible oil | mustard oil | refined soybean oil,,substandard | unsafe_food,"Agra, Uttar Pradesh, India",seizure | closure | notice,relevant,0.6272369234416718,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,6,14,2026-07-29T05:37:06Z
oil-c2fa50179af284f7,"Flies hovering on them, 145kg rasgullas destroyed by food safety officials in Noida",indiatimes.com,2025-10-12,https://timesofindia.indiatimes.com/city/noida/flies-hovering-on-them-145kg-rasgullas-destroyed-by-food-safety-officials-in-noida/articleshow/124489677.cms,Edible Oil,unclear,0.85,1,suspected,mustard oil,,adulteration,"Noida, Gautam Buddha Nagar, Uttar Pradesh, India",seizure,,,,0,0,2,8,2026-07-29T15:07:27Z
oil-daf4ca29b4849989,Adulterated edible oil worth Rs53L seized in Kanpur raid | Kanpur News - The Times of India,indiatimes.com,2025-10-11,https://timesofindia.indiatimes.com/city/kanpur/adulterated-edible-oil-worth-rs53l-seized-in-kanpur-raid/articleshow/124465364.cms,Edible Oil,relevant_event,0.95,1,suspected,edible oil,suspicious samples,adulteration | substandard,"Kanpur, Uttar Pradesh, India",raid | seizure,relevant,0.9432970113934098,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",2,0,2,13,2026-07-29T18:53:00Z
oil-c72d68cafd2478be,FSDA seizes substandard supply of edible oil worth 30L | Kanpur News - The Times of India,indiatimes.com,2025-10-10,https://timesofindia.indiatimes.com/city/kanpur/fsda-seizes-substandard-supply-of-edible-oil-worth-30l/articleshow/124437838.cms,Edible Oil,relevant_event,0.95,1,suspected,edible oil,,substandard,"Kanpur, Uttar Pradesh, India",seizure,relevant,0.9652111641380194,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",3,0,6,1,2026-07-29T15:57:50Z
oil-081117bbf714a215,Pre-Diwali crackdown on food adulteration in Lucknow,hindustantimes.com,2025-10-10,https://www.hindustantimes.com/cities/lucknow-news/prediwali-crackdown-on-food-adulteration-in-lucknow-101760112550766.html,Edible Oil,unclear,0.85,1,suspected,mustard oil | edible oils,,substandard | adulteration,"Lucknow, Uttar Pradesh, India",seizure,,,,1,0,6,18,2026-07-28T19:17:15Z
oil-23d97461886d2622,FDA seizes untested soyabean oil,indiatimes.com,2025-10-09,https://timesofindia.indiatimes.com/city/nagpur/fda-seizes-untested-soyabean-oil/articleshow/124398090.cms,Edible Oil,relevant_event,0.95,2,suspected,soyabean oil,,substandard | unsafe_food,"Nagpur, Maharashtra, India | Gondia, Maharashtra, India",seizure,,,,1,0,3,6,2026-07-28T22:39:02Z
oil-9f582ea75e0eddfb,"Raids at 8 shops in Gurgaon, 16 food samples seized, sent for tests",indiatimes.com,2025-09-29,https://timesofindia.indiatimes.com/city/gurgaon/raids-at-8-shops-in-gurgaon-16-food-samples-seized-sent-for-tests/articleshow/124199612.cms,Edible Oil,unclear,0.95,1,suspected,mustard oil,,adulteration | substandard,"Gurgaon, Haryana, India",raids | seizure,,,,0,0,1,9,2026-07-29T11:52:56Z
oil-4868fc6b9046a8f9,"14 students of a government school in Hazaribag take ill after consuming snacks , hospitalized",indiatimes.com,2025-09-24,https://timesofindia.indiatimes.com/city/ranchi/14-students-of-a-government-school-in-hazaribag-take-ill-after-consuming-snacks-hospitalized/articleshow/124097235.cms,Edible Oil,unclear,0.95,1,pending_test,mustard oil,,contamination | substandard,"Hazaribag, Jharkhand, India",inspection | sample_collection,,,,0,0,6,10,2026-07-29T02:39:01Z
oil-d7067a97a2f5acc2,Onam vigil: five special squads in action to expose low-quality food products,thehindu.com,2025-09-03,https://www.thehindu.com/news/national/kerala/onam-vigil-five-special-squads-in-action-to-expose-low-quality-food-products/article70008118.ece,Edible Oil,relevant_event,0.92,1,suspected,coconut oil,testa oil,adulteration | substitution | mislabeling,"Kozhikode, Kerala, India",Action will be initiated soon,,,,3,0,3,14,2026-07-29T18:18:43Z
oil-9522cb6fbdcc239f,Coconut oil unit sealed in Kanniyakumari for violations,thehindu.com,2025-08-21,https://www.thehindu.com/news/cities/Madurai/coconut-oil-unit-sealed-in-kanniyakumari-for-violations/article69960089.ece,Edible Oil,relevant_event,0.95,1,suspected,coconut oil,,adulteration | substandard | mislabeling,"Kanniyakumari, Tamil Nadu, India",sealing of coconut oil unit | seizure,,,,1,0,3,6,2026-07-29T10:46:21Z
oil-8e1bcc090b3c0db2,16k litres of fake coconut oil seized | Thiruvananthapuram News - Times of India,indiatimes.com,2025-08-14,https://timesofindia.indiatimes.com/city/thiruvananthapuram/16k-litres-of-fake-coconut-oil-seized/articleshow/123288376.cms,Edible Oil,relevant_event,0.95,1,alleged,coconut oil,fake coconut oil,adulteration | counterfeit | mislabeling,"Kollam, Kerala, India",seizure,relevant,0.912246842110634,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,4,5,2026-07-29T09:49:30Z
oil-a9685f88d15906f6,"Food Safety wing seizes 16,565 litres of spurious coconut oil in raids  ",thehindu.com,2025-08-12,https://www.thehindu.com/news/national/kerala/food-safety-wing-seizes-16565-litres-of-spurious-coconut-oil-in-raids/article69925354.ece,Edible Oil,relevant_event,0.95,1,suspected,coconut oil,,substandard | adulteration,"seven districts in Kerala, Kerala, India",seizure,relevant,0.856106898267018,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,2,3,2026-07-29T13:13:03Z
oil-ff34df409a4806f1,Coconut oil mills in Kangayam struggle to stem slide in production despite healthy market conditions,thehindu.com,2025-08-07,https://www.thehindu.com/news/cities/Coimbatore/coconut-oil-mills-in-kangayam-struggle-to-stem-slide-in-production-despite-healthy-market-conditions/article69906326.ece,Edible Oil,relevant_event,0.95,1,alleged,coconut oil,sunflower oil | palm oil,adulteration | substitution | dilution,"Kangayam, Tiruppur, Tamil Nadu, India",,relevant,0.6941,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,3,0,2,8,2026-07-29T23:23:15Z
oil-fc714f38909e4348,Dry fruit oil traders under scanner ahead of Rakshabandhan,indiatimes.com,2025-08-05,https://timesofindia.indiatimes.com/city/noida/dry-fruit-oil-traders-under-scanner-ahead-of-rakshabandhan/articleshow/123103360.cms,Edible Oil,unclear,0.85,2,suspected,rice bran oil | soybean oil,,adulteration | mislabeling,"Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, India | Noida, Gautam Buddha Nagar, Uttar Pradesh, India",seizure,,,,0,0,4,14,2026-07-29T23:07:25Z
oil-17abc10a59ca2c80,Court fines 2 for selling adulterated mustard oil in Ghaziabad | Noida News - The Times of India,indiatimes.com,2025-07-26,https://timesofindia.indiatimes.com/city/noida/court-fines-2-for-selling-adulterated-mustard-oil-in-ghaziabad/articleshow/122912688.cms,Edible Oil,relevant_event,0.95,1,unclear,mustard oil,,substandard | unsafe_food,"Ghaziabad, Uttar Pradesh, India","fine of Rs 20,000 each under Section 51 of the FSSA | fine of Rs 5,000 each under Section 59 (i) of the Act",relevant,0.7923283444275631,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",2,0,6,7,2026-07-28T21:50:57Z
oil-8e1ede70f7533502,"Coconut oil price skyrockets, crosses Rs 500 per litre",newindianexpress.com,2025-07-25,https://www.newindianexpress.com/states/kerala/2025/Jul/25/coconut-oil-price-skyrockets-crosses-rs-500-per-litre,Edible Oil,relevant_event,0.75,1,suspected,coconut oil,unknown,adulteration,"Kochi, Ernakulam, Kerala, India",,irrelevant,0.417,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,1,0,0,11,2026-07-29T09:51:05Z
oil-70649ae86f99dffc,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration",freepressjournal.in,2025-07-07,https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,Edible Oil,relevant_event,0.95,1,suspected,soybean oil | groundnut oil,,adulteration | substandard,"Akkalkuwa, Nandurbar, Maharashtra, India",suspension | closure,relevant,0.6975422954563553,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,3,14,2026-07-29T06:03:03Z
oil-431077a2a1ab59e9,Substandard edible oil found in Nandurbar: Minister warns of action,indianexpress.com,2025-07-07,https://indianexpress.com/article/cities/mumbai/substandard-edible-oil-found-in-nandurbar-minister-warns-of-action-10112216/,Edible Oil,relevant_event,0.95,1,suspected,edible oil | refined soybean oil | groundnut oil,,substandard,"Nandurbar, Maharashtra, India",Legal action under Food Safety and Standards Act,relevant,0.9234249919399004,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,3,6,2026-07-29T02:18:02Z
oil-2027fa14e94958fd,Maharashtra News: Rural Development Minister Jaikumar Gore Announces Suspension Of 2 Engineers Over Irregular Payments,freepressjournal.in,2025-07-07,https://www.freepressjournal.in/mumbai/maharashtra-news-rural-development-minister-jaikumar-gore-announces-suspension-of-2-engineers-over-irregular-payments,Edible Oil,unclear,0.85,1,suspected,soybean oil | peanut oil,,substandard,"Nandurbar, Maharashtra, India",suspension | closure,irrelevant,0.4057576413847123,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",0,0,6,4,2026-07-28T22:04:10Z
oil-a882a3e8b7aeb487,Coconut oil prices on the boil as retail price soars to ₹410/litre,thehindubusinessline.com,2025-06-17,https://www.thehindubusinessline.com/economy/agri-business/coconut-oil-prices-on-the-boil-as-retail-price-soars-to-410litre/article69703785.ece,Edible Oil,relevant_event,0.95,1,alleged,coconut oil,inferior and adulterated oils,adulteration | substandard,"Kerala, India",banning of 42 brands of coconut oil,irrelevant,0.4134,Weighted ensemble: TF-IDF Linear SVM + BGE-large RBF-SVM + RoBERTa-base,1,0,0,12,2026-07-29T13:10:08Z
oil-438415c185832786,AMC seizes 105 tins of suspicious cooking oil from Behrampura - The Times of India,indiatimes.com,2025-04-26,https://timesofindia.indiatimes.com/city/ahmedabad/amc-seizes-105-tins-of-suspicious-cooking-oil-from-behrampura/articleshow/120648762.cms,Edible Oil,unclear,0.85,1,suspected,refined palm oil | refined soybean oil,,substandard,"Ahmedabad, Gujarat, India",seizure,relevant,0.6183954414544142,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",1,0,6,13,2026-07-29T02:20:39Z
oil-4d6bfb72c0733299,Health dept seizes 352 boxes of refined oil after 6 hospitalised,hindustantimes.com,2025-04-22,https://www.hindustantimes.com/cities/chandigarh-news/health-dept-seizes-352-boxes-of-refined-oil-after-6-hospitalised-101745259236048.html,Edible Oil,relevant_event,0.95,1,suspected,refined soyabean oil | Binni refined oil,Vitamin D,adulteration | contamination,"Rajpura, Patiala, Punjab, India",confiscation | public announcement,irrelevant,0.3488802283324012,"ens_wavg[tfidf_linsvm/full+bge-large_rbfsvm/oilemb+roberta-base_lead_512/full|0.17,0.67,0.17]",6,0,16,4,2026-07-29T03:09:39Z
