corpus,food,adulterant_or_substitute,specific_candidate,triplet_rows,distinct_sources,mean_confidence,median_confidence,minimum_confidence,maximum_confidence,confidence_weighted_source_support,rows_confidence_ge_0_80,rows_confidence_ge_0_90,surface_forms,example_source_id,example_url,example_evidence
FSSAI baseline,olive oil,solvents,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,solvents (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,to the exclusion of oils obtained using solvents
FSSAI baseline,olive oil,suspended or other foreign matter,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,suspended or other foreign matter (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,free from... suspended or other foreign matter
FSSAI baseline,processed roots and tubers,caramel,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Caramel (1),src_pdf_005,markdown/appendix_a_4.md,Processed roots | Caramel
FSSAI baseline,rapeseed oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for Argemone oil shall be negative
FSSAI baseline,raw material,added flavour,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added flavour (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,free from added flavour
FSSAI baseline,rolled flaked oats,added colours,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added colours (1),src_pdf_012,markdown/chapter_2_4_cereals_and_cereal_products.md,free from added colours
FSSAI baseline,safflower seed oil,argemone oil,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,argemone oil (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for argemone oil shall be negative
FSSAI baseline,salt,salt substitutes,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Salt substitutes (1),src_pdf_005,markdown/appendix_a_4.md,used on food in place of salt
FSSAI baseline,sample unit,soft and mushy texture,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,Soft and mushy texture (1),src_pdf_014,markdown/chapter_2_6_fish_and_fish_products.md,Soft and mushy texture
FSSAI baseline,tea,added colouring matter,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added colouring matter (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,added colouring matter
FSSAI baseline,tea,dead insects,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,dead insects (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,dead insects
FSSAI baseline,tea,extraneous matter,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,extraneous matter (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,free from extraneous matter
FSSAI baseline,tea,moulds,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,moulds (1),src_pdf_008,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,"free from living insects, moulds"
FSSAI baseline,water melon seed oil,added colouring,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,added colouring (1),src_pdf_010,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,added colouring and flavouring substances
FSSAI baseline,wine,coliforms,True,1,1,0.95,0.95,0.95,0.95,0.95,1,1,coliforms (1),src_pdf_018,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,shall be free from coliforms
FSSAI baseline,Milk,constituents not derived from milk,True,1,1,0.9,0.9,0.9,0.9,0.9,1,1,constituents not derived from milk (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,constituents not derived from milk are not intended to take the place
FSSAI baseline,Milk,edible lactose,True,1,1,0.9,0.9,0.9,0.9,0.9,1,1,Edible Lactose (1),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,disaccharide sugar found in milk
FSSAI baseline,Milk,final product,True,3,1,0.9,0.9,0.9,0.9,0.9,3,3,final product (3),src_pdf_009,markdown/chapter_2_1_dairy_products_and_analogues.md,if the final product is intended to substitute milk
FSSAI baseline,article of food,adulterant,False,1,1,0.9,0.9,0.9,0.9,0.9,1,1,Adulterant (1),src_pdf_024,markdown/fss_rules_2011.md,finding of the report is to the effect that the article of food is adulterated
FSSAI baseline,article of food,contaminant,True,1,1,0.9,0.9,0.9,0.9,0.9,1,1,Contaminant (1),src_pdf_024,markdown/fss_rules_2011.md,finding of the report is to the effect that the article of food is ... contaminated
FSSAI baseline,caviar substitutes,lumpfish caviar,True,1,1,0.9,0.9,0.9,0.9,0.9,1,1,lumpfish caviar (1),src_pdf_005,markdown/appendix_a_4.md,"cod roe, salted cod roe and lumpfish caviar"
FSSAI baseline,articles of food,adulteratedfood,True,1,1,0.85,0.85,0.85,0.85,0.85,1,0,AdulteratedFood (1),src_pdf_023,markdown/fss_gazete_rules_2011.md,articles of food….intended for sale which is in your possession appears to me to be adulterated
FSSAI baseline,probiotics,starter cultures of lactic acid producing bacteria,True,1,1,0.75,0.75,0.75,0.75,0.75,0,0,starter cultures of lactic acid producing bacteria (1),src_pdf_021,markdown/compendium_nutra_29_09_2021.md,shall not be considered as probiotics
FSSAI baseline,butylated hydroxytoluene,butylated hydroxyanisole,True,1,1,0.7,0.7,0.7,0.7,0.7,0,0,butylated hydroxyanisole (1),src_pdf_005,markdown/appendix_a_4.md,Any combination of butylated hydroxyanisole... and propyl gallate
FSSAI baseline,cocoa bean,food additives,True,1,1,0.7,0.7,0.7,0.7,0.7,0,0,Food Additives (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,The product may contain Food Additives permitted in Appendix A
FSSAI baseline,the product,food additives,True,1,1,0.7,0.7,0.7,0.7,0.7,0,0,food additives (1),src_pdf_011,markdown/chapter_2_3_fruit_vegetable_products.md,The product may contain food additives
News,Ghee,animal fat,True,139,102,0.8824,0.9,0.7,0.95,90.75,132,75,animal fat (108); animal fats (29); Animal fat (1); rendered animal fats (1),0109eea0-3adc-4177-a6f7-e3bc31bf237d,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"ghee, she noted it is frequently adulterated with vanaspati, animal fat"
News,Ghee,palm oil family,True,184,100,0.9117,0.9,0.75,0.95,91.7,183,156,palm oil (132); palm kernel oil (19); palmolein oil (10); palmolein (6); palm stearin (6); chemically processed palmolein oil (2); Palm oil (2); refined palm oil (2),030df41e-ccfc-4023-a026-89cc92bf3253,https://www.thehindubusinessline.com/news/tirupati-laddu-ghee-case-cbi-sit-names-36-accused-including-ttd-officials/article70548628.ece,not at all ghee but chemically processed palmolein oil
News,Ghee,vegetable oil/fat,True,124,73,0.9042,0.9,0.75,0.95,67.1,120,97,vegetable oils (42); vegetable oil (26); vegetable fat (24); vegetable fats (13); hydrogenated vegetable oil (8); refined vegetable oil (3); edible vegetable oil (2); vegetable oil/fat (2),0a113e2a-26d3-45e4-9064-7cfa2f39230b,https://www.thehindu.com/sci-tech/health/tirupati-laddu-row-on-the-economics-of-and-adulterants-in-ghee-explained/article68705077.ece,Common adulterants include edible vegetable oil
News,Milk,urea,True,49,42,0.9286,0.95,0.75,0.95,39.1,48,46,urea (47); urea fertiliser (2),1248419c-d314-4ded-858b-f8920ae5a2f6,https://www.thehindu.com/news/cities/kozhikode/food-safety-dept-in-kozhikode-to-begin-drive-to-check-adulteration-ahead-of-onam/article68572481.ece,seized litres of urea-mixed milk
News,Milk,detergent,True,39,35,0.9231,0.95,0.75,0.95,32.55,38,35,detergent (21); detergents (15); detergent powder (3),2bc11203-0268-4c4a-9fe6-c168449ca3cf,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"adulterators frequently mixed in substances such as urea, detergent"
News,Ghee,unspecified adulterant,False,35,35,0.8229,0.85,0.75,0.95,28.8,22,8,unspecified adulterant (35),b6a4c3c9-311e-4a4f-beaf-d0012bbfbf51,https://www.thehindu.com/news/cities/bangalore/sale-of-adulterated-nandini-ghee-uncovered/article38197249.ece,Reports confirmed that the ghee had been adulterated
News,Milk,ethylene glycol,True,46,34,0.9315,0.95,0.75,0.95,31.9,45,39,ethylene glycol (37); Ethylene Glycol (8); monoethylene glycol (1),276e27ef-82bd-4911-a4df-9d2448b232fb,https://timesofindia.indiatimes.com/city/delhi/whats-cooking-in-pantry-bite-into-adulterated-truth/articleshow/130488415.cms,milk contaminated with ethylene glycol
News,Ghee,chemicals,False,33,33,0.8485,0.85,0.65,0.95,28.0,28,11,chemicals (33),0118c86d-fe92-4616-b53b-066a3faf5eab,https://timesofindia.indiatimes.com/city/chandigarh/four-arrested-for-preparing-and-selling-spurious-desi-ghee/articleshow/124738787.cms,mixing chemicals in Dalda ghee and refined oil
News,Milk,unknown adulterant,False,34,33,0.8397,0.85,0.7,0.95,27.7,23,9,unknown adulterant (34),milk-67914a8ce22fe5a5,https://www.deccanchronicle.com/southern-states/andhra-pradesh/cm-reviews-on-srikakulam-diarrhoea-cases-and-rajahmundry-adulterated-milk-issue-1940111,adulterated milk incident came to light
News,Ghee,vanaspati,True,41,32,0.9061,0.9,0.85,0.95,29.15,41,33,vanaspati (27); vanaspati oil (5); vanaspati ghee (4); Vanaspati (4); vanaspati hydrogenated fat (1),0109eea0-3adc-4177-a6f7-e3bc31bf237d,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"ghee, she noted it is frequently adulterated with vanaspati"
News,Milk,starch,True,30,28,0.9317,0.95,0.85,0.95,26.1,30,28,starch (27); starch powder (2); starch flour (1),0474b2bd-b79f-48d1-ba0c-b7db6a1fa873,https://www.thehindu.com/news/national/telangana/telangana-food-safety-department-demonstrates-methods-to-identify-adulterated-food/article70833242.ece,presence of starch in milk can be detected
News,Ghee,lard/pig fat,True,31,27,0.8839,0.9,0.75,0.95,23.95,27,19,lard (23); Lard (3); pig lard (2); pork fat (2); pig fat (1),3f674523-5416-4b89-8cab-fe3ddf3c9e7e,https://www.hindustantimes.com/india-news/tirupati-laddu-row-fish-oil-more-expensive-accused-ghee-supplier-refutes-allegations-101726973256605.html,lab tests revealed the presence of animal fat and lard
News,Milk,water,True,34,26,0.9176,0.95,0.8,0.95,24.1,34,26,water (32); glucose water (1); contaminated water (1),2bc11203-0268-4c4a-9fe6-c168449ca3cf,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"Water was the most common adulterant, added to expand supply"
News,Ghee,beef tallow,True,27,24,0.8611,0.85,0.75,0.95,20.75,22,11,beef tallow (24); beef fat (2); Beef tallow (1),4469e268-1b01-49b7-a436-ea4a88ba6269,https://www.newindianexpress.com/nation/2024/Sep/23/tirupati-laddu-row-fssai-issues-show-cause-notice-to-ghee-supplier-2,"ghee samples used in the Tirupati temple laddus contained palm oil, fish oil, beef tallow, and lard"
News,Paneer,starch,True,20,20,0.905,0.9,0.8,0.95,18.1,20,15,starch (20),394a5ff5-76f3-4885-87ed-4a6879611c22,https://timesofindia.indiatimes.com/city/ranchi/fssai-is-working-towards-felicitating-whistle-blowers-who-report-adulteration/articleshow/121853932.cms,starch ... in paneer and khowa
News,Ghee,acetic acid ester,True,22,19,0.9045,0.9,0.85,0.95,17.2,22,20,acetic acid ester (20); Acetic Acid Ester (2),7a59b547-cf09-4b46-bbfe-d7a7f34b7cfc,https://www.thehindu.com/news/national/andhra-pradesh/cbis-sit-finds-ttd-received-adulterated-ghee-for-over-five-years/article70259867.ece,used acetic acid esters in the final product
News,Ghee,fish oil,True,20,19,0.8875,0.9,0.75,0.95,16.9,18,12,fish oil (18); Fish Oil (2),4469e268-1b01-49b7-a436-ea4a88ba6269,https://www.newindianexpress.com/nation/2024/Sep/23/tirupati-laddu-row-fssai-issues-show-cause-notice-to-ghee-supplier-2,"ghee samples used in the Tirupati temple laddus contained palm oil, fish oil, beef tallow, and lard"
News,Ghee,adulterated ghee,False,19,16,0.8474,0.85,0.75,0.95,13.65,17,3,adulterated ghee (19),eb7f5240-b11f-4c58-9681-91c05d2c3f50,https://www.newsx.com/regionals/tirumala-shocker-rs-54-crore-silk-dupatta-scam-uncovered-after-fake-ghee-row-and-donation-box-theft-125182/,adulterated ghee was used in laddus instead of cow ghee
News,Khoya/mawa,starch,True,17,15,0.9029,0.9,0.85,0.95,13.6,17,14,starch (16); maize starch (1),64ca8569-7f45-4083-8534-3ec754aee6c6,https://www.republicworld.com/health/is-the-milk-you-are-drinking-pure-4-easy-fssai-approved-ways-to-test-its-purity-at-home,"Starch is sometimes added to milk, khoya"
News,Ghee,beta carotene,True,16,15,0.8938,0.9,0.85,0.95,13.45,16,12,beta carotene (8); beta-carotene (5); Beta-Carotene (2); Beta Carotene (1),dc0f107c-d6af-40f2-b8fd-d6a8264071a5,https://www.thequint.com/news/breaking-news/cbi-finds-no-animal-fat-tirupati-ghee,adulteration involved the use of acetic acid esters and beta carotene to manipulate standard purity tests and mimic the color and flavor of traditional ghee.
News,Tirupati laddu,animal fat,True,19,15,0.8395,0.85,0.75,0.95,12.65,14,3,animal fat (16); animal fats (3),2010c6e2-c9cb-4a3e-b22b-8cabf1044074,https://www.thehindubusinessline.com/news/ed-to-probe-money-laundering-in-adulterated-tirupati-laddu-scam/article70616167.ece,animal fat was used in preparing Tirupati laddus
