food,adulterant_or_substitute,effect,chain_class,food_adulterant_news_articles,adulterant_effect_news_articles,same_article_direct_chain_articles,same_snippet_direct_chain_articles,same_article_context_articles,fssai_food_adulterant_rows,fssai_adulterant_effect_rows,mean_food_adulterant_confidence,mean_adulterant_effect_confidence,conservative_chain_confidence,chain_support_score,example_article_id,example_article_url,example_food_adulterant_evidence,example_adulterant_effect_evidence,interpretation
Milk,poison,death,directly joined in the same article,11,5,3,2,0,0,0,0.9192,0.86,0.86,2.6965,milk-0aaa3a5a5169112a,https://www.tribuneindia.com/news/jalandhar/poisoned-by-parents-villagers-perform-last-rites-of-3-minor-girls-550530,They offered poison-laced milk to their daughters,"Three girls, who were poisoned to death by their parents",reported or repository-inferred association; not epidemiological proof of causation
fruits,pesticide residue,cancer/carcinogenicity,directly joined in the same article,6,6,3,1,3,0,0,0.9,0.8812,0.8812,2.5948,milk-b993f201bb670e21,https://www.thehansindia.com/editors-desk/india-needs-to-grow-safe-food-curb-adulteration-879087,"Pesticide residues can be found in significant amounts in many foods, including fruits","Such residues, when consumed regularly, are found to cause serious health risks, including ... cancer",reported or repository-inferred association; not epidemiological proof of causation
Milk,formalin/formaldehyde,cancer/carcinogenicity,directly joined in the same article,6,4,3,2,1,0,0,0.9417,0.9,0.9,2.5499,milk-2d4c6eb27aa0b942,https://nagalandpost.com/unsafe-at-every-bite-indias-silent-food-safety-epidemic/,Common adulterants found in milk and milk-based products... include... formalin,"Formalin, recognised for its cancer-causing properties",reported or repository-inferred association; not epidemiological proof of causation
everest fish curry masala,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,3,7,3,2,0,0,0,0.95,0.8885,0.8885,2.5172,milk-a7671d0c28676937,https://timesofindia.indiatimes.com/india/indian-spices-not-banned-in-singapore-and-hong-kong-govt/articleshow/112334804.cms,recalled 'Everest' fish curry masala due to the presence of ethylene oxide,"ethylene oxide, a pesticide classified as a carcinogen",reported or repository-inferred association; not epidemiological proof of causation
Milk,unknown contaminant,renal failure,directly joined in the same article,4,3,3,3,1,0,0,0.825,0.8833,0.825,2.1772,7d796579-8acb-4851-a31f-526034bb0b78,https://www.thehansindia.com/hans/opinion/news-analysis/adulterated-milk-spells-death-can-no-longer-be-ignored-1055769,consumed adulterated milk supplied by a single vendor,Nine people died of acute renal failure,reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,dizziness,directly joined in the same article,34,2,2,0,0,0,0,0.9315,0.925,0.925,3.4351,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness",reported or repository-inferred association; not epidemiological proof of causation
Milk,urea,renal failure,directly joined in the same article,42,2,2,2,1,0,0,0.9286,0.875,0.875,3.4053,milk-fa44bcc5515bda60,https://www.thehindu.com/news/national/andhra-pradesh/hazardous-chemicals-found-in-milk-during-raids-across-east-godavari/article70823682.ece,one sample contained urea,Consumption of milk adulterated with urea involves risks including damage to the digestive system and renal failure,reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,nausea,directly joined in the same article,34,2,2,0,0,0,0,0.9315,0.9167,0.9167,3.4041,milk-f27a9200b8298367,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,confirmed the presence of a toxic substance — ethylene glycol — in the milk,Early symptoms that occur within hours are nausea,reported or repository-inferred association; not epidemiological proof of causation
Milk,ethylene glycol,kidney related ailments,directly joined in the same article,34,2,2,2,0,0,0,0.9315,0.9,0.9,3.3422,milk-6a4e4e0b65eb5d9d,https://www.deccanherald.com/india/andhra-pradesh/andhra-pradesh-milk-adulteration-death-toll-reaches-14-several-hospitalised-in-east-godavari-3930401,milk contaminated with ethylene glycol,including urinary obstruction and kidney-related ailments,reported or repository-inferred association; not epidemiological proof of causation
Milk,urea,organ damage,directly joined in the same article,42,2,2,0,2,0,0,0.9286,0.85,0.85,3.308,1fc04845-1f82-4efa-80fc-80e8feefa6ed,https://indianexpress.com/article/health-wellness/fake-paneer-khoya-seized-up-holi-health-10561195/,Urea and detergent have also been found in milk,"Adulterants like urea and detergents can be toxic, causing damage to organs",reported or repository-inferred association; not epidemiological proof of causation
Milk,detergent,organ damage,directly joined in the same article,35,3,2,0,2,0,0,0.9231,0.85,0.85,3.197,1fc04845-1f82-4efa-80fc-80e8feefa6ed,https://indianexpress.com/article/health-wellness/fake-paneer-khoya-seized-up-holi-health-10561195/,Urea and detergent have also been found in milk,"Adulterants like urea and detergents can be toxic, causing damage to organs",reported or repository-inferred association; not epidemiological proof of causation
Khoya/mawa,starch,allergic reaction,directly joined in the same article,15,2,2,0,2,0,0,0.9029,0.85,0.85,2.6274,7984f772-8c6a-46cb-af36-a7df6ed37ecc,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Khoya is often mixed with starch,"adulterants like starch, artificial dyes, or metallic powders that can cause allergies",reported or repository-inferred association; not epidemiological proof of causation
Mustard oil,argemone oil,epidemic dropsy,directly joined in the same article,8,3,2,2,0,0,0,0.9333,0.95,0.9333,2.5877,milk-8a55933f0d5da63a,https://www.deccanchronicle.com/opinion/columnists/chandrakant-lahariya-the-adulteration-of-food-is-a-silent-assault-on-health-safety-of-indians-1937982,argemone oil mixed with mustard oil,argemone oil mixed with mustard oil has caused outbreaks of epidemic dropsy,reported or repository-inferred association; not epidemiological proof of causation
vegetables,pesticide residue,cancer/carcinogenicity,directly joined in the same article,6,6,2,0,3,0,0,0.9111,0.8812,0.8812,2.4968,milk-e0280fded4cae9e7,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,vegetables — many of which contained pesticide residues,terminal illnesses like cancer,reported or repository-inferred association; not epidemiological proof of causation
Milk,refined oil,serious health risk,directly joined in the same article,9,2,2,2,0,0,0,0.89,0.85,0.85,2.3567,milk-15b9c81a4418943c,https://timesofindia.indiatimes.com/city/noida/paneer-seized-in-noida-from-aligarh-found-unsafe-case-filed-in-court/articleshow/122212904.cms,prepared using refined oil and a carbonate neutraliser instead of milk,"paneer was prepared using refined oil and a carbonate neutraliser instead of milk, posing a serious health risk",reported or repository-inferred association; not epidemiological proof of causation
spice mixes,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.91,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"presence of ethylene oxide, a toxic chemical used as a food stabiliser, beyond permissible limits",posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
madras curry powder,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.95,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide,posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
sambhar masala,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.95,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide,posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
curry powder masala,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.95,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide,posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
everest spice mix,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.95,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"Singapore ordered a recall of the Everest spice mix, stating: Ethylene oxide is a pesticide",posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
guar gum,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.9,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,ethylene oxide in guar gum,posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
curry powder,ethylene oxide,cancer/carcinogenicity,directly joined in the same article,2,7,2,2,0,0,0,0.9,0.8885,0.8885,2.3447,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,ethylene oxide in guar gum and curry powder from India,posing a cancer risk if exposed for too long,reported or repository-inferred association; not epidemiological proof of causation
tea,pesticide residue,cancer/carcinogenicity,directly joined in the same article,3,6,2,0,2,0,0,0.9,0.8812,0.8812,2.3257,milk-e0280fded4cae9e7,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,"tea, fruits, and vegetables — many of which contained pesticide residues",terminal illnesses like cancer,reported or repository-inferred association; not epidemiological proof of causation
Paneer,urea,kidney damage,directly joined in the same article,6,2,2,2,1,0,0,0.9143,0.875,0.875,2.2443,milk-3860e6654d518030,https://www.freepressjournal.in/india/fake-paneer-racket-busted-toxic-chemicals-like-urea-detergent-used-in-up,fake paneer being produced using harmful chemicals such as urea,"They severely damage the liver, kidneys",reported or repository-inferred association; not epidemiological proof of causation
vegetables,pesticide residue,hepatitis,directly joined in the same article,6,2,2,0,2,0,0,0.9111,0.85,0.85,2.1802,milk-e0280fded4cae9e7,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,vegetables — many of which contained pesticide residues,"continued intake of such products may lead to a range of health issues, including typhoid, hepatitis",reported or repository-inferred association; not epidemiological proof of causation
fruits,pesticide residue,hepatitis,directly joined in the same article,6,2,2,0,2,0,0,0.9,0.85,0.85,2.1802,milk-e0280fded4cae9e7,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,"fruits, and vegetables — many of which contained pesticide residues","continued intake of such products may lead to a range of health issues, including typhoid, hepatitis",reported or repository-inferred association; not epidemiological proof of causation
Edible/cooking oil,total polar compounds,atherosclerosis,directly joined in the same article,3,4,2,2,0,0,0,0.875,0.875,0.875,2.1743,oil-3ef2550fc329c436,https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-fast-food-joint-s-cooking-oil-fails-quality-test-say-health-dept-101764785730988.html,Tests showed the oil had Total Polar Compounds (TPC) above permissible limits,"Reports link excessive TPC to diseases such as hypertension, atherosclerosis",reported or repository-inferred association; not epidemiological proof of causation
mdh sambhar masala,salmonella,salmonellosis,directly joined in the same article,2,2,2,2,0,0,0,0.95,0.95,0.95,2.0874,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,MDH's Sambhar Masala was initiated in the US after FDA discovered the product was contaminated with Salmonella,Salmonella. These are agents known to cause salmonellosis,reported or repository-inferred association; not epidemiological proof of causation
olive oil,denatured rapeseed oil,toxic oil syndrome,directly joined in the same article,2,2,2,2,0,0,0,0.95,0.95,0.95,2.0874,oil-b697d96d9a9efcdd,https://economictimes.indiatimes.com/news/economy/agriculture/olive-oil-price-olive-oil-cooking-food-for-fraud-your-olive-oil-might-be-unfit-for-human-consumption/articleshow/113731643.cms,consumption of denatured rapeseed oil for industrial use that had been illegally sold as olive oil,Caused by the consumption of denatured rapeseed oil,reported or repository-inferred association; not epidemiological proof of causation
Edible/cooking oil,total polar compounds,hypertension,directly joined in the same article,3,4,2,2,0,0,0,0.875,0.8375,0.8375,2.0811,oil-d5e3fb8bdb8f3e49,https://timesofindia.indiatimes.com/life-style/food-news/dark-discoloration-high-tpc-levels-found-in-cooking-oil-of-famous-fast-food-chain-what-fssai-says-about-the-health-risks/articleshow/130833701.cms,TPC (Total Polar Compounds) levels in the cooking oil were found to be above permissible limits,Reports have related these compounds to several diseases such as hypertension,reported or repository-inferred association; not epidemiological proof of causation
vegetables,oxytocin,dizziness,directly joined in the same article,3,2,2,2,0,0,0,0.94,0.9,0.9,2.0723,milk-0bc625b573fb9e74,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,vegetables are injected with oxytocin,oxytocin — a chemical linked to dizziness,reported or repository-inferred association; not epidemiological proof of causation
vegetables,oxytocin,headaches,directly joined in the same article,3,2,2,2,0,0,0,0.94,0.9,0.9,2.0723,milk-0bc625b573fb9e74,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,vegetables are injected with oxytocin,"oxytocin — a chemical linked to dizziness, headaches",reported or repository-inferred association; not epidemiological proof of causation
vegetables,oxytocin,heart failure,directly joined in the same article,3,2,2,2,0,0,0,0.94,0.9,0.9,2.0723,milk-0bc625b573fb9e74,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,vegetables are injected with oxytocin,"oxytocin — a chemical linked to dizziness, headaches, heart failure",reported or repository-inferred association; not epidemiological proof of causation
vegetables,oxytocin,infertility,directly joined in the same article,3,2,2,2,0,0,0,0.94,0.9,0.9,2.0723,milk-0bc625b573fb9e74,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,vegetables are injected with oxytocin,"oxytocin — a chemical linked to dizziness, headaches, heart failure, infertility, and cancer",reported or repository-inferred association; not epidemiological proof of causation
everest fish curry masala,ethylene oxide,toxicity,directly joined in the same article,3,2,2,1,0,0,0,0.95,0.875,0.875,2.0148,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Everest fish curry masala. The spice mixes contained high levels of ethylene oxide,"ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
silver vark,aluminium foil,digestive irritation,directly joined in the same article,2,2,2,2,0,0,0,0.95,0.9,0.9,1.9775,7984f772-8c6a-46cb-af36-a7df6ed37ecc,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"That shiny silver leaf on mithai may look festive, but it can be fake.",Avoid eating mithai with aluminium coating as it can cause digestive irritation,reported or repository-inferred association; not epidemiological proof of causation
everest garam masala,salmonella,salmonellosis,directly joined in the same article,2,2,2,2,0,0,0,0.9,0.95,0.9,1.9775,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Another such recall involved Everest's Garam Masala and Sambhar Masala,Salmonella. These are agents known to cause salmonellosis,reported or repository-inferred association; not epidemiological proof of causation
sambhar masala,salmonella,salmonellosis,directly joined in the same article,2,2,2,2,0,0,0,0.9,0.95,0.9,1.9775,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"Another such recall involved Everest's Garam Masala and Sambhar Masala, and Maggi's Masala-ae-Magic in June last year. Other than being contaminated with Salmonella.",Salmonella. These are agents known to cause salmonellosis,reported or repository-inferred association; not epidemiological proof of causation
maggi masala ae magic,salmonella,salmonellosis,directly joined in the same article,2,2,2,2,0,0,0,0.9,0.95,0.9,1.9775,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Maggi's Masala-ae-Magic in June last year. Other than being contaminated with Salmonella,Salmonella. These are agents known to cause salmonellosis,reported or repository-inferred association; not epidemiological proof of causation
tea,pesticide residue,hepatitis,directly joined in the same article,3,2,2,0,2,0,0,0.9,0.85,0.85,1.9572,milk-e0280fded4cae9e7,https://assamtribune.com/assam/whats-on-your-plate-assam-battles-surge-in-unsafe-foods-as-experts-sound-alarm-1575052,"tea, fruits, and vegetables — many of which contained pesticide residues","continued intake of such products may lead to a range of health issues, including typhoid, hepatitis",reported or repository-inferred association; not epidemiological proof of causation
spice mixes,ethylene oxide,toxicity,directly joined in the same article,2,2,2,1,0,0,0,0.91,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"presence of ethylene oxide, a toxic chemical used as a food stabiliser, beyond permissible limits","ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
madras curry powder,ethylene oxide,toxicity,directly joined in the same article,2,2,2,1,0,0,0,0.95,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide,"ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
sambhar masala,ethylene oxide,toxicity,directly joined in the same article,2,2,2,1,0,0,0,0.95,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide,"ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
curry powder masala,ethylene oxide,toxicity,directly joined in the same article,2,2,2,2,0,0,0,0.95,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,spice mixes contained high levels of ethylene oxide,"ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
everest spice mix,ethylene oxide,toxicity,directly joined in the same article,2,2,2,0,0,0,0,0.95,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"Singapore ordered a recall of the Everest spice mix, stating: Ethylene oxide is a pesticide","ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
guar gum,ethylene oxide,toxicity,directly joined in the same article,2,2,2,0,0,0,0,0.9,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,ethylene oxide in guar gum,"ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
curry powder,ethylene oxide,toxicity,directly joined in the same article,2,2,2,0,0,0,0,0.9,0.875,0.875,1.9226,milk-b87ea04f3974c7d3,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,ethylene oxide in guar gum and curry powder from India,"ethylene oxide, a toxic chemical",reported or repository-inferred association; not epidemiological proof of causation
mithai,starch,allergic reaction,directly joined in the same article,2,2,2,2,1,0,0,0.9,0.85,0.85,1.8676,7984f772-8c6a-46cb-af36-a7df6ed37ecc,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,many shop-bought mithai contain adulterants like starch,"adulterants like starch, artificial dyes, or metallic powders that can cause allergies",reported or repository-inferred association; not epidemiological proof of causation
honey,high fructose corn syrup,increases sugar level in the body,directly joined in the same article,3,2,2,2,0,0,0,0.8667,0.8,0.8,1.8421,384a803e-eb96-4abf-a0ea-3e3f98291e8e,https://timesofindia.indiatimes.com/city/nagpur/experts-sound-note-of-caution-as-fda-finds-52-of-86-honey-samples-adulterated/articleshow/85336798.cms,honey adulteration is done by using synthetic sugar syrups,"These sugar syrups like high fructose corn syrup and rice syrup have high fructose content, which can harm the body. At least jaggery mixed honey was natural, but honey having fructose content increases the sugar level in the body though honey is being consumed to control sugar",reported or repository-inferred association; not epidemiological proof of causation
Ghee,vegetable oil/fat,gastrointestinal illness,directly joined in the same article,73,1,1,1,0,0,0,0.9042,0.85,0.85,3.6922,40846a9f-f6bb-4e8c-a024-24aec3d65678,https://www.indiatoday.in/india/story/india-today-impact-sting-operation-fake-ghee-leads-to-raids-uttar-pradesh-hathras-2623207-2024-10-25?utm_source=rss,"combination of hydrogenated vegetable oil, refined oil, and some added fragrance","health risks posed by the regular consumption of hydrogenated oils and refined oils are well-documented, ranging from digestive issues",reported or repository-inferred association; not epidemiological proof of causation
Ghee,vegetable oil/fat,cardiovascular problems,directly joined in the same article,73,1,1,1,0,0,0,0.9042,0.85,0.85,3.6922,40846a9f-f6bb-4e8c-a024-24aec3d65678,https://www.indiatoday.in/india/story/india-today-impact-sting-operation-fake-ghee-leads-to-raids-uttar-pradesh-hathras-2623207-2024-10-25?utm_source=rss,"combination of hydrogenated vegetable oil, refined oil, and some added fragrance","health risks posed by the regular consumption of hydrogenated oils and refined oils are well-documented, ranging from digestive issues to long-term cardiovascular problems",reported or repository-inferred association; not epidemiological proof of causation
Milk,urea,stomach irritation,directly joined in the same article,42,1,1,0,1,0,0,0.9286,0.9,0.9,3.4458,2bc11203-0268-4c4a-9fe6-c168449ca3cf,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,adulterators frequently mixed in substances such as urea,Chemicals such as urea... can cause stomach irritation,reported or repository-inferred association; not epidemiological proof of causation
Milk,urea,multi-organ failure,directly joined in the same article,42,1,1,1,1,0,0,0.9286,0.9,0.9,3.4458,milk-2d4c6eb27aa0b942,https://nagalandpost.com/unsafe-at-every-bite-indias-silent-food-safety-epidemic/,"Common adulterants found in milk and milk-based products, such as paneer, curd, and sweets, include detergent, starch, urea, caustic soda, and formalin.",substances like urea and formalin... may lead to... organ failure,reported or repository-inferred association; not epidemiological proof of causation
Milk,urea,damage to the digestive system,directly joined in the same article,42,1,1,1,0,0,0,0.9286,0.9,0.9,3.4458,milk-fa44bcc5515bda60,https://www.thehindu.com/news/national/andhra-pradesh/hazardous-chemicals-found-in-milk-during-raids-across-east-godavari/article70823682.ece,one sample contained urea,Consumption of milk adulterated with urea involves risks including damage to the digestive system,reported or repository-inferred association; not epidemiological proof of causation
Milk,detergent,stomach irritation,directly joined in the same article,35,1,1,0,1,0,0,0.9231,0.9,0.9,3.2972,2bc11203-0268-4c4a-9fe6-c168449ca3cf,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"adulterators frequently mixed in substances such as urea, detergent","Chemicals such as urea, detergents and caustic soda can cause stomach irritation",reported or repository-inferred association; not epidemiological proof of causation
