edge_id,corpus,food_pool,source_id,snippet_id,source_file_or_url,food,food_surface,adulterant,adulterant_surface,relation,confidence,evidence_span,specific_candidate
f7be7f27b2fb06e4f05b,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0092,markdown/chapter_2_3_fruit_vegetable_products.md,arecanuts,Arecanuts,insect infestation,insect infestation,hasadulterant,0.95,free from insect infestation,True
e0ac5d1e08a1010abdbb,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0092,markdown/chapter_2_3_fruit_vegetable_products.md,arecanuts,Arecanuts,off flavour,off flavour,hasadulterant,0.95,shall not have any off flavour,True
e0ec2e48857b4d2d267b,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0091,markdown/chapter_2_3_fruit_vegetable_products.md,cocoa bean,Cocoa bean,food additives,Food Additives,hasadulterant,0.7,The product may contain Food Additives permitted in Appendix A,True
1b290da02c0a75f20a96,FSSAI baseline,FSSAI baseline,src_pdf_012,src_pdf_012_chunk_0050,markdown/chapter_2_4_cereals_and_cereal_products.md,rolled flaked oats,Rolled/Flaked Oats,added colours,added colours,hasadulterant,0.95,free from added colours,True
e0d92ebd5ae0bdd6d179,FSSAI baseline,FSSAI baseline,src_pdf_014,src_pdf_014_chunk_0033,markdown/chapter_2_6_fish_and_fish_products.md,frozen minced fish meat,Frozen minced fish meat,finishing agents,finishing agents,hasadulterant,0.95,free from foreign matter and finishing agents,True
6cad3671296273242b16,FSSAI baseline,FSSAI baseline,src_pdf_014,src_pdf_014_chunk_0041,markdown/chapter_2_6_fish_and_fish_products.md,caviar,caviar,texturising agents,texturising agents,hasadulterant,0.95,The use of colours and texturising agents is not allowed,True
7101e0b963be2b9bf0c7,FSSAI baseline,FSSAI baseline,src_pdf_014,src_pdf_014_chunk_0055,markdown/chapter_2_6_fish_and_fish_products.md,sample unit,sample unit,soft and mushy texture,Soft and mushy texture,hasadulterant,0.95,Soft and mushy texture,True
51dc11b04d75c3eb478c,FSSAI baseline,FSSAI baseline,src_pdf_015,src_pdf_015_chunk_0010,markdown/chapter_2_7_sweets_and_confectionary.md,Butter,cocoa butter,vegetable oil/fat,vegetable fat,issubstitutefor,0.95,vegetable fat... may be used... as cocoa butter equivalent,True
02ee95c6be1f3a80ec01,FSSAI baseline,FSSAI baseline,src_pdf_017,src_pdf_017_chunk_0033,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,aniseed saunf whole,Aniseed (Saunf) whole,mould,mould,hasadulterant,0.95,free from mould,True
bde19124a3a6af9d5fec,FSSAI baseline,FSSAI baseline,src_pdf_017,src_pdf_017_chunk_0033,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,aniseed saunf whole,Aniseed (Saunf) whole,living and dead insects,living and dead insects,hasadulterant,0.95,free from ... living and dead insects,True
2c9be26c9c3544d3644f,FSSAI baseline,FSSAI baseline,src_pdf_018,src_pdf_018_chunk_0019,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,wine,Wine,coliforms,coliforms,hasadulterant,0.95,shall be free from coliforms,True
ac5dc66c720276a3b282,FSSAI baseline,FSSAI baseline,src_pdf_018,src_pdf_018_chunk_0023,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,beer,beer,coliforms,coliforms,hasadulterant,0.95,free from coliforms and other pathogenic microorganisms,True
52b21ccbd3c97dfdc573,FSSAI baseline,FSSAI baseline,src_pdf_018,src_pdf_018_chunk_0023,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,beer,beer,pathogenic microorganisms,pathogenic microorganisms,hasadulterant,0.95,free from coliforms and other pathogenic microorganisms,True
d92b62f0f5e10704df67,FSSAI baseline,FSSAI baseline,src_pdf_019,src_pdf_019_chunk_0004,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,food articles,food articles,mineral oil,mineral oil,hasadulterant,0.95,food articles which have been coated with mineral oil,True
ad89d6a1de12815d3478,FSSAI baseline,FSSAI baseline,src_pdf_019,src_pdf_019_chunk_0005,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,fruits,Fruits,acetylene gas,Acetylene gas,hasadulterant,0.95,fruits which have been artificially ripened by use of acetylene gas,True
26c7d9cc160cf3abbbe6,FSSAI baseline,FSSAI baseline,src_pdf_019,src_pdf_019_chunk_0015,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,Edible/cooking oil,vegetable oil,harmful colouring,harmful colouring,hasadulterant,0.95,No vegetable oil shall contain any harmful colouring,True
24164487cff1bcef533a,FSSAI baseline,FSSAI baseline,src_pdf_019,src_pdf_019_chunk_0015,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,Edible/cooking oil,vegetable oil,matter deleterious to health,matter deleterious to health,hasadulterant,0.95,No vegetable oil shall contain any... matter deleterious to health,True
e2b3ee6a63df089425ff,FSSAI baseline,FSSAI baseline,src_pdf_021,src_pdf_021_chunk_0053,markdown/compendium_nutra_29_09_2021.md,probiotics,probiotics,starter cultures of lactic acid producing bacteria,starter cultures of lactic acid producing bacteria,issubstitutefor,0.75,shall not be considered as probiotics,True
0dcd069a0ecc660d32ea,FSSAI baseline,FSSAI baseline,src_pdf_021,src_pdf_021_chunk_0061,markdown/compendium_nutra_29_09_2021.md,cupric gluconate,Cupric gluconate,copper,Copper,issubstitutefor,0.95,Chloride: — | (i): (iii) | Calcium chloride: Cupric gluconate,True
2f8465818cb684c4419c,FSSAI baseline,FSSAI baseline,src_pdf_023,src_pdf_023_chunk_0059,markdown/fss_gazete_rules_2011.md,articles of food,articles of food,adulteratedfood,AdulteratedFood,hasadulterant,0.85,articles of food….intended for sale which is in your possession appears to me to be adulterated,True
29b92a07701749deee1c,FSSAI baseline,FSSAI baseline,src_pdf_024,src_pdf_024_chunk_0036,markdown/fss_rules_2011.md,article of food,article of food,adulterant,Adulterant,hasadulterant,0.9,finding of the report is to the effect that the article of food is adulterated,False
768d45d55d3eea3c9a10,FSSAI baseline,FSSAI baseline,src_pdf_024,src_pdf_024_chunk_0036,markdown/fss_rules_2011.md,article of food,article of food,contaminant,Contaminant,hasadulterant,0.9,finding of the report is to the effect that the article of food is ... contaminated,True
adc9e1c44b2f6841f8b5,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0007,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,instant tea in solid form,Instant Tea in Solid Form,added colours,added colours,hasadulterant,0.95,free from... added colours,True
96147f695a357439d407,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0007,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,instant tea in solid form,Instant Tea in Solid Form,non permitted flavours,non-permitted flavours,hasadulterant,0.95,free from... non-permitted flavours,True
048563898fe584ac9bb9,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0019,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,almond oil,Almond oil,mineral oil,mineral oil,hasadulterant,0.95,or mineral oil,True
a97d020c47429c640b27,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0019,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,almond oil,Almond oil,argemone oil,argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
3190158bba8d691ab9f1,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0019,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,water melon seed oil,Water-melon seed oil,added colouring,added colouring,hasadulterant,0.95,added colouring and flavouring substances,True
128fd06e50d49419982a,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0007,markdown/chapter_2_3_fruit_vegetable_products.md,canned tomatoes,Canned tomatoes,flavouring agents,flavouring agents,hasadulterant,0.95,free from ... flavouring agents,True
564e801bb998d11be976,FSSAI baseline,FSSAI baseline,src_pdf_019,src_pdf_019_chunk_0006,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,fresh fruits and vegetables,Fresh Fruits and Vegetables,waxes,waxes,hasadulterant,0.95,free from coating of waxes,True
a3666c8c67a4ee0a8dc5,FSSAI baseline,FSSAI baseline,src_pdf_019,src_pdf_019_chunk_0006,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,fresh fruits and vegetables,Fresh Fruits and Vegetables,colours,colours,hasadulterant,0.95,free from coating of ... colours,True
0d368e668b495c34d258,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0090,markdown/chapter_2_3_fruit_vegetable_products.md,cocoa bean,Cocoa bean,any other seeds,any other seeds,hasadulterant,0.95,free from ... admixture of any other seeds,True
905815b2d30e98b527e5,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0090,markdown/chapter_2_3_fruit_vegetable_products.md,cocoa bean,Cocoa bean,broken beans,broken beans,hasadulterant,0.95,reasonably free from broken beans,True
00d593e4b28e125eacc3,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0090,markdown/chapter_2_3_fruit_vegetable_products.md,cocoa bean,Cocoa bean,fragments,fragments,hasadulterant,0.95,reasonably free from ... fragments,True
fabae5837257623997c1,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0090,markdown/chapter_2_3_fruit_vegetable_products.md,cocoa bean,Cocoa bean,pieces of shell,pieces of shell,hasadulterant,0.95,reasonably free from ... pieces of shell,True
b594d656c2301da82468,FSSAI baseline,FSSAI baseline,src_pdf_011,src_pdf_011_chunk_0090,markdown/chapter_2_3_fruit_vegetable_products.md,cocoa bean,Cocoa bean,living insects,living insects,hasadulterant,0.95,free from living insects,True
6ca8be26ecaab5614b64,FSSAI baseline,FSSAI baseline,src_pdf_017,src_pdf_017_chunk_0062,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,dried sweet marjoram,Dried sweet marjoram,visible moulds,visible moulds,hasadulterant,0.95,free from visible moulds,True
7861d8a317feb7a1c80b,FSSAI baseline,FSSAI baseline,src_pdf_017,src_pdf_017_chunk_0062,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,dried sweet marjoram,Dried sweet marjoram,rodent contamination,rodent contamination,hasadulterant,0.95,free from ... rodent contamination,True
4c02b027db6d003b948f,FSSAI baseline,FSSAI baseline,src_pdf_017,src_pdf_017_chunk_0062,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,dried sweet marjoram,Dried sweet marjoram,foreign odours,foreign odours,hasadulterant,0.95,free from foreign odours,True
121b6fd7702860475ca8,FSSAI baseline,FSSAI baseline,src_pdf_017,src_pdf_017_chunk_0062,markdown/chapter_2_9_salt_spices_condiments_and_related_products.md,dried sweet marjoram,Dried sweet marjoram,added colouring matters,added colouring matters,hasadulterant,0.95,free from ... added colouring matters,True
c389fb9663f63f0735c8,FSSAI baseline,FSSAI baseline,src_pdf_001,src_pdf_001_chunk_0002,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,catechu edible,CATECHU (Edible),sand,sand,hasadulterant,0.95,"free from infestation, sand, earth or other dirt",True
d1490c433c7bf81b303d,FSSAI baseline,FSSAI baseline,src_pdf_001,src_pdf_001_chunk_0002,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,catechu edible,CATECHU (Edible),earth,earth,hasadulterant,0.95,"free from infestation, sand, earth or other dirt",True
4605d8afc3862a1a3da2,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0013,markdown/appendix_a_4.md,Milk,Milk,non dairy based beverage whitener,Non-Dairy based beverage whitener,issubstitutefor,0.95,Milk or cream substitute,True
f1cc372c01891f8fe0ef,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0013,markdown/appendix_a_4.md,cream,Cream,non dairy based beverage whitener,Non-Dairy based beverage whitener,issubstitutefor,0.95,Milk or cream substitute,True
06e89e6d8c4f3b835583,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0056,markdown/appendix_a_4.md,caviar substitutes,Caviar substitutes,lumpfish caviar,lumpfish caviar,issubstitutefor,0.9,"cod roe, salted cod roe and lumpfish caviar",True
489e03e84d7797b04e3f,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0062,markdown/appendix_a_4.md,salt,salt,salt substitutes,Salt substitutes,issubstitutefor,0.95,used on food in place of salt,True
53cf6048a35c70718356,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0127,markdown/appendix_a_4.md,processed roots and tubers,Processed roots and tubers,caramel,Caramel,hasadulterant,0.95,Processed roots | Caramel,True
413a7a5b5e9747944d47,FSSAI baseline,FSSAI baseline,src_pdf_005,src_pdf_005_chunk_0237,markdown/appendix_a_4.md,butylated hydroxytoluene,butylated hydroxytoluene,butylated hydroxyanisole,butylated hydroxyanisole,issubstitutefor,0.7,Any combination of butylated hydroxyanisole... and propyl gallate,True
d35d15b7790ba070c701,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0001,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,tea,TEA,moulds,moulds,hasadulterant,0.95,"free from living insects, moulds",True
8f5944e345028804e137,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0001,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,tea,TEA,dead insects,dead insects,hasadulterant,0.95,dead insects,True
33876dd77b0ff001c3aa,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0001,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,tea,TEA,extraneous matter,extraneous matter,hasadulterant,0.95,free from extraneous matter,True
8b99ce659331a54c934d,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0001,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,tea,TEA,added colouring matter,added colouring matter,hasadulterant,0.95,added colouring matter,True
61b04c01c7e8eb0831e1,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0012,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,decaffeinated soluble coffee powder,Decaffeinated soluble coffee powder,added substances,added substances,hasadulterant,0.95,shall not contain chicory or any other added substances,True
4485a578279830accf1b,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0012,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,chicory,Chicory,artificial colouring,artificial colouring,hasadulterant,0.95,free from... artificial colouring and flavouring agents,True
2f7d22d8000576eb30e6,FSSAI baseline,FSSAI baseline,src_pdf_008,src_pdf_008_chunk_0012,markdown/chapter_2_10_beverages_other_than_dairy_and_fruits_vegetables_based.md,coffee chicory mixture,Coffee - Chicory Mixture,added substance,added substance,hasadulterant,0.95,shall not contain any other added substance,True
71c103c24df9d72124c8,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0054,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,Fermented Milk,dahi,Dahi,issubstitutefor,0.95,name 'Fermented Milk' may be replaced with designations Dahi,True
3f5234ffcd313c509ca8,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0054,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,Fermented Milk,curd,Curd,issubstitutefor,0.95,name 'Fermented Milk' may be replaced with designations ... Curd,True
07fb813831e1b4464fac,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0054,markdown/chapter_2_1_dairy_products_and_analogues.md,Milk,Fermented Milk,yoghurt,Yoghurt,issubstitutefor,0.95,name 'Fermented Milk' may be replaced with designations ... Yoghurt,True
fe1d2bc1e940888c9dd2,FSSAI baseline,FSSAI baseline,src_pdf_009,src_pdf_009_chunk_0093,markdown/chapter_2_1_dairy_products_and_analogues.md,colostrum,Colostrum,food additives,food additives,hasadulterant,0.95,Colostrum shall not contain any food additives,True
4a39529c8670c24f7a65,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0001,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Coconut oil,Coconut oil,argemone oil,argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
5b7d759800f6604e5856,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0001,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Coconut oil,Virgin Coconut Oil,mineral oil,mineral oil,hasadulterant,0.95,free from ... mineral oil,True
6d9c2ed6679a4c234954,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0001,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Coconut oil,Virgin Coconut Oil,flavouring substances,flavouring substances,hasadulterant,0.95,free from ... flavouring substances,True
7d0b1ea65ea38c31d0dd,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0005,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,rapeseed oil,Rapeseed oil,argemone oil,Argemone oil,hasadulterant,0.95,Test for Argemone oil shall be negative,True
a025cc35b67ef76f4d6e,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0004,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,flaxseed oil,Flaxseed oil,argemone oil,Argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
40e2a18d6fdfd47a8d54,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0004,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,flaxseed oil,Flaxseed oil,hexane,Hexane,hasadulterant,0.95,oil obtained by expelled pressed method shall be free from hexane residues,True
bd9ec036c67b4744a7a6,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0007,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,olive oil,Olive oil,solvents,solvents,hasadulterant,0.95,to the exclusion of oils obtained using solvents,True
996e62f4753e24bc0288,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0007,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,olive oil,Olive oil,re esterification processes,re-esterification processes,hasadulterant,0.95,to the exclusion of... re-esterification processes,True
72c88fc1534fb6df7481,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0007,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,olive oil,Olive oil,rancidity,rancidity,hasadulterant,0.95,free from rancidity,True
4b0dbf0cce69969d41fd,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0007,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,olive oil,Olive oil,suspended or other foreign matter,suspended or other foreign matter,hasadulterant,0.95,free from... suspended or other foreign matter,True
47a6f01c3abdf8883b82,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0007,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,olive oil,Olive oil,mineral oil,mineral oil,hasadulterant,0.95,free from... mineral oil,True
c97f184b3b414a82bebc,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0012,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,safflower seed oil,Safflower seed oil,argemone oil,argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
cf1f434b2fae0173e824,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0016,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,maize corn oil,Maize (corn) oil,hexane,hexane,hasadulterant,0.95,shall not contain hexane more than 5.0 ppm,True
3cc13b098966e76a0efe,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0015,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Sesame oil,Til Oil,argemone oil,Argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
fc93adc9836e92307be5,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0015,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Sesame oil,Til Oil,hexane,Hexane,hasadulterant,0.95,oil obtained by expelled pressed method shall be free from hexane residues,True
4b3effab34f32641e7ee,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0015,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,niger seed oil,Niger Seed Oil,argemone oil,Argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
085bd8b4ae60299c4a85,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0015,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,niger seed oil,Niger Seed Oil,hexane,Hexane,hasadulterant,0.95,oil obtained by expelled pressed method shall be free from hexane residues,True
5d3a01442e024218d133,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0018,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Edible/cooking oil,Refined Vegetable Oil,rancidity,rancidity,hasadulterant,0.95,free from rancidity,True
3bc7d2e17438e309c5bd,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0017,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,maize corn oil,Maize (corn) oil,argemone oil,Argemone oil,hasadulterant,0.95,Test for argemone oil shall be negative,True
7568bcc3c0243490c97e,FSSAI baseline,FSSAI baseline,src_pdf_010,src_pdf_010_chunk_0017,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Edible/cooking oil,Refined Vegetable Oil,chemical agent,chemical agent,hasadulterant,0.95,No other chemical agent shall be used,True
7e63bf7bf729da981731,News,Ghee,0043ec8a-4273-4d43-a374-8a3cd565345d,0043ec8a-4273-4d43-a374-8a3cd565345d_chunk_0001,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ap-govt-transfers-ttd-eo-singhal-1934221,Ghee,ghee,adulterated ghee,adulterated ghee,hasadulterant,0.85,probing the supply of 'adulterated ghee',False
7e63bf7bf729da981731,News,Ghee,0043ec8a-4273-4d43-a374-8a3cd565345d,0043ec8a-4273-4d43-a374-8a3cd565345d_chunk_0001,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ap-govt-transfers-ttd-eo-singhal-1934221,Ghee,ghee,adulterated ghee,adulterated ghee,hasadulterant,0.85,supply of 'adulterated ghee' for the Srivari Laddu prasadam,False
6c12f8049bbbf6f64654,News,Ghee,009466c1-814a-4efd-9889-5153c50fe839,009466c1-814a-4efd-9889-5153c50fe839_chunk_0001,https://www.bombaynews.net/news/274781301/andhra-pradesh-sit-reaches-tirupati-to-probe-adulteration-in-ghee-used-in-srivari-laddu-prasadam,Ghee,ghee,animal fat,animal fat,hasadulterant,0.85,"substandard ingredients, including animal fat, were used in the preparation of Tirupati laddus",True
5ac94a71de3440bdb615,News,Ghee,0109eea0-3adc-4177-a6f7-e3bc31bf237d,0109eea0-3adc-4177-a6f7-e3bc31bf237d_chunk_0001,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,ginger garlic paste,ginger-garlic paste,maida,maida,hasadulterant,0.85,ginger-garlic paste is often bulked up with starch such as maida,True
d9eb4cecc765c02a4696,News,Ghee,0109eea0-3adc-4177-a6f7-e3bc31bf237d,0109eea0-3adc-4177-a6f7-e3bc31bf237d_chunk_0001,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,ginger garlic paste,ginger-garlic paste,cornflour,cornflour,hasadulterant,0.85,ginger-garlic paste is often bulked up with starch such as maida or cornflour,True
54906fde73168ea0f602,News,Ghee,0109eea0-3adc-4177-a6f7-e3bc31bf237d,0109eea0-3adc-4177-a6f7-e3bc31bf237d_chunk_0001,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,ginger garlic paste,ginger-garlic paste,artificial colours,artificial colours,hasadulterant,0.85,ginger-garlic paste is often bulked up with starch such as maida or cornflour. “It may also contain artificial colours,True
