publication_year,food,adulterant_or_substitute,triplet_rows,distinct_articles,mean_confidence
2021,Mustard oil,soybean oil,1,1,0.9
2021,Mustard oil,groundnut oil,1,1,0.9
2021,Mustard oil,cotton seed oil,1,1,0.95
2021,Mustard oil,hexane,1,1,0.95
2021,Paneer,cooking oil,1,1,0.85
2021,Paneer,water,1,1,0.85
2021,Soybean oil,argemone oil,1,1,0.75
2021,Soybean oil,palm oil family,1,1,0.95
2021,Sunflower oil,palm oil family,2,1,0.95
2021,besan,maida,1,1,0.9
2021,biryani,prohibited food colours,1,1,0.95
2021,biryani,reprocessed oils,1,1,0.95
2021,biryani,vanaspati,1,1,0.85
2021,biryani,cheap quality spices,1,1,0.8
2021,biscuits,embalming powder,1,1,0.9
2021,channa bhujia,non permitted colour,1,1,0.9
2021,channa bhujia,palm oil family,1,1,0.9
2021,chilli powder,spurious material,1,1,0.85
2021,chilli powder,aniline dyes,1,1,0.9
2021,cofset,diethylene glycol,1,1,0.98
2021,edible oils,pesticide residue,2,2,0.9
2021,edible oils,heavy metals,2,2,0.9
2021,edible oils,aflatoxins,1,1,0.9
2021,edible oils,hydrocyanic acid,1,1,0.85
2021,fish,thallium,1,1,0.95
2021,food left at room temperature,bacteria,1,1,0.85
2021,fried items,artificial food colours,1,1,0.85
2021,honey,mannose,2,2,0.95
2021,honey,maltose,2,2,0.95
2021,honey,maltotriose,2,2,0.95
2021,honey,high fructose corn syrup,2,2,0.9
2021,honey,rice syrup,5,2,0.89
2021,honey,corn syrup,2,2,0.9
2021,honey,sugarcane syrup,2,2,0.9
2021,honey,beetroot syrup,2,2,0.9
2021,honey,water,1,1,0.9
2021,honey,sugar,1,1,0.9
2021,honey,chemical colour,1,1,0.9
2021,honey,advanced syrups,1,1,0.85
2021,laddu,maida,2,1,0.825
2021,laddu,spurious colour,1,1,0.85
2021,laddu,artificial fragrance,1,1,0.85
2021,laddu,low grade oil,1,1,0.85
2021,laddu,arrowroot,1,1,0.85
2021,maida,arrowroot,1,1,0.85
2021,namkeen,caustic soda,1,1,0.95
2021,namkeen,substandard gram flour,1,1,0.9
2021,namkeen,used edible oil,1,1,0.95
2021,oil,sub standard raw material,1,1,0.85
2021,packaged drinking water,contaminant,1,1,0.85
2021,protein powders,heavy metals,1,1,0.85
2021,rapeseed oil,tri ortho cresyl phosphate,1,1,0.95
2021,soya chunks,ammonium bicarbonate,1,1,0.9
2021,tea,unknown green leaf or seed powder,1,1,0.75
2021,turmeric,spurious material,1,1,0.85
2021,turmeric powder,red colour,2,1,0.925
2021,turmeric powder,rice flour,1,1,0.95
2021,turmeric powder,corn flour,1,1,0.95
2021,turmeric powder,waste rice powder,1,1,0.9
2021,turmeric powder,non edible synthetic yellow colour,1,1,0.9
2021,turmeric powder,wood powder,1,1,0.9
2021,water,bacteria,1,1,0.75
2021,whey protein,steroids,1,1,0.95
2022,Coconut oil,sulphur,1,1,0.85
2022,Edible/cooking oil,dust,2,2,0.925
2022,Edible/cooking oil,sand,2,2,0.925
2022,Edible/cooking oil,total polar compounds,1,1,0.85
2022,Ghee,vegetable oil/fat,6,5,0.9167
2022,Ghee,palm oil family,6,4,0.9
2022,Ghee,fake ghee,6,4,0.875
2022,Ghee,unspecified adulterant,4,4,0.8875
2022,Ghee,refined oil,3,2,0.9167
2022,Ghee,colour,3,2,0.85
2022,Ghee,essence,2,2,0.85
2022,Ghee,refined soybean oil,1,1,0.9
2022,Ghee,flavor,1,1,0.85
2022,Ghee,special type of chemical,1,1,0.85
2022,Ghee,duplicate ghee,1,1,0.9
2022,Ghee,dalda,1,1,0.95
2022,Ghee,vanaspati,1,1,0.95
2022,Ghee,trans fatty acids,1,1,0.9
2022,Ghee,animal fat,1,1,0.95
2022,Ghee,petroleum jelly,1,1,0.95
2022,Ghee,unspecified adulterant in ghee,1,1,0.9
2022,Ghee,spurious ghee,1,1,0.85
2022,Groundnut oil,palm oil family,2,1,0.925
2022,Khoya/mawa,milk powder,2,2,0.85
2022,Khoya/mawa,starch,2,2,0.9
2022,Khoya/mawa,refined oil,1,1,0.85
2022,Milk,vegetable oil/fat,4,3,0.9375
2022,Milk,urea,3,2,0.9167
2022,Milk,poison,3,2,0.9167
2022,Milk,adulterant,1,1,0.75
2022,Milk,detergent,1,1,0.95
2022,Milk,caustic soda,1,1,0.9
2022,Milk,refined oil,1,1,0.9
2022,Milk,salmonella,1,1,0.8
2022,Milk,shigella dysenteriae,1,1,0.85
2022,Milk,pesticide residue,1,1,0.85
2022,Milk,antibiotic residue,1,1,0.9
2022,Milk,lead,1,1,0.95
2022,Milk,arsenic,1,1,0.95
2022,Milk,thallium,1,1,0.95
2022,Milk,hydrogen peroxide,1,1,0.9
2022,Milk,plastic froth,1,1,0.9
2022,Milk,chemical,1,1,0.8
2022,Mustard oil,rice bran oil,5,3,0.94
2022,Mustard oil,unspecified adulterant,1,1,0.85
2022,Mustard oil,argemone mexicana,3,1,0.9
2022,Palm oil,soybean oil,1,1,0.95
2022,Palm oil,rice bran oil,1,1,0.8
2022,Palm oil,cottonseed oil,1,1,0.8
2022,Paneer,oil,2,1,0.8
2022,Paneer,unspecified adulterant,1,1,0.9
2022,Soybean oil,palm oil family,4,3,0.9375
2022,Sunflower oil,palm oil family,10,8,0.9
2022,Sunflower oil,groundnut oil,1,1,0.85
2022,Sunflower oil,soybean oil,1,1,0.85
2022,adulterated oil,animal carcasses,1,1,0.95
2022,artificial coloured rice,artificial colour,1,1,0.85
2022,black pepper,dried papaya seeds,1,1,0.95
2022,black pepper,mineral oils,1,1,0.85
2022,branded edible oils,locally procured oils,1,1,0.8
2022,fish,mercury,1,1,0.85
2022,fish,chemical,1,1,0.85
2022,fish,formalin/formaldehyde,1,1,0.9
2022,fish curry,thallium,1,1,0.9
2022,food,thallium,1,1,0.9
2022,food,arsenic,1,1,0.9
2022,fried items,trans fat,1,1,0.85
2022,gingelly oil,rice bran oil,2,1,0.925
2022,higher valued oil,low cost edible oil,1,1,0.9
2022,hydrogenated oils,trans fatty acids,1,1,0.85
2022,maggi noodles,rat poison,1,1,0.95
2022,mithais,synthetic dyes,1,1,0.85
2022,mustard seeds,argemone mexicana,1,1,0.9
2022,new product,old oil,1,1,0.8
2022,oil,mud,1,1,0.95
2022,oil,dust,1,1,0.95
2022,processed foods,trans fat,1,1,0.85
2022,rasgulla,unspecified adulterant,1,1,0.85
2022,soyoil,palm oil family,1,1,0.75
2022,special barfi,milk powder,1,1,0.8
2022,special barfi,vanaspati,1,1,0.8
2022,spurious oils,diglyceride,1,1,0.9
2022,sun flower oil,palm oil family,1,1,0.9
2022,tender coconut,arsenic,1,1,0.9
2022,tender coconut,thallium,1,1,0.9
2022,vanaspati,trans fatty acids,1,1,0.9
2022,water,arsenic,1,1,0.9
2022,water,thallium,1,1,0.9
2023,Edible/cooking oil,unspecified adulterant,2,2,0.8
2023,Edible/cooking oil,cockroaches,1,1,0.8
2023,Edible/cooking oil,cockroaches and rats,2,1,0.85
2023,Ghee,palm oil family,5,5,0.92
2023,Ghee,vegetable oil/fat,5,4,0.93
2023,Ghee,vanaspati,2,2,0.875
2023,Ghee,scent,1,1,0.9
2023,Ghee,dalda cooking oil,1,1,0.95
2023,Ghee,artificial ghee,1,1,0.85
2023,Ghee,ghee like substance,1,1,0.85
2023,Ghee,soybean oil,2,1,0.925
2023,Ghee,ghee flavour,1,1,0.9
2023,Ghee,potato,1,1,0.9
2023,Ghee,starch,1,1,0.9
2023,Ghee,burnt engine oil,1,1,0.9
2023,Ghee,dangerous chemicals,1,1,0.85
2023,Ghee,unknown adulterant in ghee,1,1,0.9
2023,Ghee,unspecified adulterant,1,1,0.85
2023,Ghee,chemicals,1,1,0.85
2023,Ghee,fake ghee,1,1,0.9
2023,Ghee,toxic chemicals,1,1,0.85
2023,Ghee,animal fat,2,1,0.925
2023,Ghee,herbicides,1,1,0.85
2023,Ghee,antibiotic residue,1,1,0.85
2023,Ghee,heavy metals,1,1,0.85
2023,Ghee,harmful chemicals,1,1,0.85
2023,Ghee,refined oil,1,1,0.9
2023,Groundnut oil,palm oil family,1,1,0.95
2023,Khoya/mawa,milk powder,1,1,0.95
2023,Khoya/mawa,artificial flavors,2,1,0.9
2023,Khoya/mawa,vanaspati,1,1,0.95
2023,Khoya/mawa,fake mawa,1,1,0.9
2023,Khoya/mawa,starch,1,1,0.9
2023,Milk,starch,7,7,0.9429
2023,Milk,hydrogen peroxide,8,7,0.95
2023,Milk,urea,6,6,0.9417
2023,Milk,detergent,5,5,0.94
2023,Milk,sodium hydrogen carbonate,4,4,0.95
2023,Milk,sorbitol,4,3,0.95
2023,Milk,soap,3,3,0.95
2023,Milk,salt,3,3,0.9167
2023,Milk,milk powder,3,2,0.8833
2023,Milk,poison,3,2,0.9167
2023,Milk,unspecified adulterant,2,2,0.85
2023,Milk,water,2,2,0.95
2023,Milk,whey powder,1,1,0.85
2023,Milk,e coli,2,1,0.85
2023,Milk,bacteria,1,1,0.85
2023,Milk,formalin/formaldehyde,1,1,0.95
2023,Milk,cereal flours,1,1,0.95
2023,Milk,adulterant_in_milk_sample,1,1,0.9
2023,Milk,oxytocin,1,1,0.85
2023,Milk,glucose,1,1,0.85
2023,Milk,maltodextrin,1,1,0.85
2023,Milk,refined oil,1,1,0.95
2023,Milk,caustic soda,1,1,0.95
2023,Milk,colourless liquid,1,1,0.9
2023,Palm oil,palm oil family,1,1,0.75
2023,Palm oil,animal fat,1,1,0.9
2023,Palm oil,harmful substances,1,1,0.85
2023,Paneer,refined oil,2,2,0.9
2023,Paneer,detergent,2,2,0.9
2023,Paneer,acetic acid,1,1,0.9
2023,Paneer,industrial grade chemicals,1,1,0.85
2023,Paneer,foreign fat,2,1,0.925
2023,Paneer,starch,1,1,0.9
2023,Paneer,hydrogenated oil,1,1,0.85
2023,Paneer,sulphuric acid,1,1,0.95
2023,Paneer,maida,1,1,0.85
2023,Paneer,palm oil family,1,1,0.9
2023,Paneer,baking powder,1,1,0.9
2023,Paneer,discarded skimmed milk,1,1,0.85
2023,Paneer,bicarbonate of soda,1,1,0.9
2023,Paneer,sulfuric acid,1,1,0.9
2023,Paneer,urea,1,1,0.95
2023,Paneer,acid,1,1,0.9
2023,Paneer,edible oil,1,1,0.95
2023,Soybean oil,linseed,1,1,0.95
2023,Soybean oil,flax seed,1,1,0.95
2023,adulterated toddy,chemicals,1,1,0.75
2023,baby food,lead,1,1,0.95
2023,baby food,heavy metals,1,1,0.9
2023,baby food,nano plastics,1,1,0.9
2023,balushahi,synthetic colours,1,1,0.9
2023,basmati rice,colours,1,1,0.75
2023,betel nut,palm seeds,2,1,0.85
2023,carrots,nanoplastics,1,1,0.85
2023,chemical laced fish,chemical,1,1,0.8
2023,chicken,non permitted colouring agents,1,1,0.85
2023,chicken manchurian,unapproved colours,1,1,0.85
2023,chilli gobi,non permitted colouring agents,1,1,0.85
2023,chilli powder,suspected adulteration,1,1,0.6
2023,coffee,microplastics,1,1,0.9
2023,cough syrup,ethylene glycol,2,2,0.85
2023,cough syrup,diethylene glycol,2,2,0.85
2023,cough syrup,toxic industrial solvents,1,1,0.95
2023,dok 1 max syrup,ethylene glycol,1,1,0.95
2023,edible oils,harmful chemicals,1,1,0.85
2023,edible oils,various oils,1,1,0.85
2023,fish,formalin/formaldehyde,1,1,0.95
2023,food,toxic particles,1,1,0.8
2023,fruits and vegetables,harmful chemicals,1,1,0.85
2023,fruits and vegetables,chemical nutrients,1,1,0.8
2023,gobi manchurian,unapproved colours,1,1,0.85
2023,ice cream,adulterated ice cream,1,1,0.75
2023,leafy greens,heavy metals,1,1,0.9
2023,lettuce,nanoplastics,1,1,0.85
2023,mashed sweet potatoes,lead,1,1,0.85
2023,packaged table salt,microplastics,1,1,0.9
2023,pharmaceutical grade propylene glycol,ethylene glycol,1,1,0.95
2023,propylene glycol,ethylene glycol,1,1,0.9
2023,radishes,nanoplastics,1,1,0.85
2023,refined oil,unknown adulterant,1,1,0.75
2023,rice,arsenic,1,1,0.9
2023,rice cereal,arsenic,1,1,0.95
2023,salt,extraneous matter,1,1,0.9
2023,sweets,synthetic colours,2,2,0.925
2023,sweets,adulterated sweets,1,1,0.65
2023,sweets,synthetic sugar,1,1,0.9
2023,sweets,non permitted colours,1,1,0.9
2023,sweets,harmful colours,1,1,0.85
2023,sweets and savouries,re heated oil,1,1,0.85
2023,syrup,ethylene glycol,1,1,0.95
2023,syrup,diethylene glycol,1,1,0.9
2023,tea,microplastics,1,1,0.9
2023,tea,colours,1,1,0.75
2023,traditional sweets,excessive color additives,1,1,0.75
2023,water,arsenic,1,1,0.95
2024,Butter,paraffin wax,1,1,0.95
2024,Cheese,vegetable oil/fat,8,4,0.9
2024,Cheese,cheese analogues,3,2,0.9333
2024,Cheese,escherichia coli,1,1,0.85
2024,Cheese,e coli,1,1,0.85
2024,Cheese,cheese analogue,1,1,0.9
2024,Coconut oil,palm oil family,1,1,0.8
2024,Coconut oil,chemicals,1,1,0.75
2024,Coconut oil,cheaper oils,1,1,0.8
2024,Edible/cooking oil,argemone oil,1,1,0.9
2024,Edible/cooking oil,soybean oil,1,1,0.85
2024,Edible/cooking oil,industrial oils,1,1,0.8
2024,Edible/cooking oil,harmful chemicals,1,1,0.8
2024,Edible/cooking oil,used motor oil,1,1,0.95
2024,Edible/cooking oil,acrylamide,1,1,0.95
2024,Edible/cooking oil,acrolein,1,1,0.95
2024,Edible/cooking oil,spurious cooking oil,1,1,0.8
2024,Edible/cooking oil,palm oil family,1,1,0.8
2024,Ghee,animal fat,60,45,0.8683
2024,Ghee,vegetable oil/fat,34,20,0.8838
2024,Ghee,lard/pig fat,22,18,0.8841
2024,Ghee,beef tallow,18,16,0.8722
2024,Ghee,palm oil family,23,16,0.8935
2024,Ghee,fish oil,16,15,0.8875
2024,Ghee,unspecified adulterant,12,12,0.7958
2024,Ghee,vanaspati,8,6,0.925
2024,Ghee,fake ghee,4,4,0.8875
2024,Ghee,adulterant,4,4,0.7875
2024,Ghee,soybean oil,4,4,0.9
2024,Ghee,β sitosterol,3,3,0.8833
2024,Ghee,unknown adulterant,3,3,0.7167
2024,Ghee,foreign fats,4,3,0.925
2024,Ghee,palm kernel fat,2,2,0.875
2024,Ghee,hydrogenated fats,2,2,0.95
2024,Ghee,animal body fats,2,2,0.95
2024,Ghee,starchy substances,2,2,0.95
2024,Ghee,tallow,3,2,0.9
2024,Ghee,other oils,2,2,0.9
2024,Ghee,refined oil,2,2,0.95
2024,Ghee,starch,3,2,0.8167
2024,Ghee,fats rendered from dead animals,2,2,0.9
2024,Ghee,kokum butter,3,2,0.9167
2024,Ghee,synthetic essence of ghee,2,2,0.925
2024,Ghee,adulterated ghee,2,2,0.875
2024,Ghee,soya bean fat,1,1,0.85
2024,Ghee,foreign fat,1,1,0.8
2024,Ghee,counterfeit ghee,1,1,0.9
2024,Ghee,vegetable refined oil,1,1,0.9
2024,Ghee,butter flavour,1,1,0.9
2024,Ghee,adulterants,1,1,0.95
2024,Ghee,artificial fragrance,1,1,0.95
2024,Ghee,cheap oils,1,1,0.9
2024,Ghee,added fragrance,1,1,0.9
2024,Ghee,other oil,1,1,0.75
2024,Ghee,margarine,1,1,0.95
2024,Ghee,animal body fat,1,1,0.95
2024,Ghee,procured ghee,1,1,0.75
2024,Ghee,adulterant in ghee,1,1,0.85
2024,Ghee,contaminated ghee,1,1,0.85
2024,Ghee,buffalo grease,1,1,0.95
2024,Ghee,diluted products,1,1,0.85
2024,Ghee,hazardous chemicals,1,1,0.85
2024,Ghee,flower oil,1,1,0.9
2024,Ghee,colour,1,1,0.9
2024,Ghee,stearin,1,1,0.95
2024,Ghee,contaminated substance,1,1,0.75
2024,Ghee,less expensive oils and fats,1,1,0.85
2024,Ghee,ghee essence,1,1,0.95
2024,Ghee,sanchi brand counterfeit ghee,1,1,0.8
2024,Ghee,blended fats,1,1,0.9
2024,Ghee,beef oil,1,1,0.85
2024,Ghee,substandard ghee,1,1,0.75
2024,Ghee,counterfeit saras ghee,1,1,0.9
2024,Ghee,colouring agents,1,1,0.85
2024,Ghee,flavouring agents,1,1,0.85
2024,Ghee,soybean fat,1,1,0.85
2024,Ghee,sunflower fat,1,1,0.9
2024,Ghee,plant oil,2,1,0.8
2024,Ghee,butter oil derived from cross bred cows,1,1,0.85
2024,Ghee,sunflower oil,1,1,0.95
2024,Ghee,olive oil,1,1,0.95
2024,Ghee,corn oil,1,1,0.95
2024,Ghee,linoleic acid,1,1,0.8
2024,Khoya/mawa,unknown adulterant,3,3,0.7167
2024,Khoya/mawa,refined oil,2,2,0.825
2024,Khoya/mawa,palm oil family,2,2,0.9
2024,Khoya/mawa,unspecified adulterant,1,1,0.85
2024,Khoya/mawa,adulterant,1,1,0.6
2024,Khoya/mawa,milk powder,1,1,0.95
2024,Khoya/mawa,vegetable oil/fat,1,1,0.95
2024,Khoya/mawa,food colour,1,1,0.9
2024,Khoya/mawa,substandard quality,1,1,0.75
2024,Khoya/mawa,powdered milk,1,1,0.85
2024,Milk,urea,3,3,0.9167
2024,Milk,palm oil family,4,3,0.85
2024,Milk,vegetable oil/fat,2,2,0.85
2024,Milk,hazardous waste,2,2,0.85
2024,Milk,detergent,2,2,0.9
2024,Milk,maltodextrin powder,1,1,0.95
2024,Milk,sulfates,2,1,0.925
2024,Milk,phosphates,1,1,0.95
2024,Milk,carbonate oils,1,1,0.95
2024,Milk,caustic soda,1,1,0.85
2024,Milk,animal fat,1,1,0.8
2024,Milk,intoxicants,1,1,0.9
2024,Milk,oxytocin,1,1,0.95
2024,Milk,tallow,1,1,0.8
2024,Milk,mineral oils,1,1,0.9
2024,Milk,e coli,1,1,0.85
2024,Milk,harmful chemicals,1,1,0.85
2024,Milk,pesticide residue,1,1,0.9
2024,Milk,salmonella,1,1,0.85
2024,Milk,dioxin,1,1,0.85
2024,Milk,poison,1,1,0.9
2024,Milk,glucose,1,1,0.95
2024,Milk,refined oil,1,1,0.95
2024,Milk,whey powder,1,1,0.9
2024,Milk,edible oil,1,1,0.9
2024,Milk,water,2,1,0.925
2024,Milk,powdered milk,1,1,0.85
2024,Mustard oil,substandard quality,1,1,0.75
2024,Mustard oil,argemone mexicana seed oil,1,1,0.85
2024,Mustard oil,argemone,2,1,0.95
2024,Mustard oil,argemone mexicana seeds,1,1,0.95
2024,Mustard oil,miscible oils,1,1,0.85
2024,Mustard oil,other oils,1,1,0.85
2024,Mustard oil,refined rice bran oil,1,1,0.9
2024,Palm oil,beef tallow,1,1,0.9
2024,Palm oil,animal fat,1,1,0.85
2024,Palm oil,total polar compound,1,1,0.9
2024,Paneer,vegetable oil/fat,7,3,0.9071
2024,Paneer,palm oil family,3,2,0.95
2024,Paneer,glycerol monostearate,2,2,0.95
2024,Paneer,artificial substance,1,1,0.75
2024,Paneer,unknown contaminant,1,1,0.75
2024,Paneer,adulterated paneer,1,1,0.75
2024,Paneer,whey permeate powder,1,1,0.95
2024,Paneer,edible oil,1,1,0.85
2024,Sunflower oil,palm oil family,1,1,0.8
2024,Sunflower oil,cheaper oil,1,1,0.85
2024,Tirupati laddu,animal fat,12,9,0.8333
2024,Tirupati laddu,beef tallow,3,3,0.95
2024,Tirupati laddu,ghee,2,2,0.75
2024,Tirupati laddu,adulterated ghee,2,2,0.85
2024,Tirupati laddu,substandard ingredients,2,2,0.725
2024,Tirupati laddu,fish oil,2,2,0.925
2024,Tirupati laddu,lard/pig fat,1,1,0.95
2024,Tirupati laddu,adulterant,1,1,0.75
2024,Tirupati laddu,soya bean fat,1,1,0.9
2024,adulterated mangoes,chemicals,1,1,0.9
2024,adulterated oils,unspecified adulterant,1,1,0.75
2024,avocado oil,soybean oil,1,1,0.85
2024,betel nuts,palm seeds,1,1,0.95
2024,biryani,rotten meat,1,1,0.9
2024,black forest cake,cancer causing ingredient,1,1,0.85
2024,bread,human waste,1,1,0.9
2024,cake,additive,1,1,0.9
2024,cashew nuts,decayed cashew nuts,1,1,0.85
2024,caviar,non sturgeon fish roe,1,1,0.9
2024,chilli powder,artificial coloring,1,1,0.85
2024,chinese garlic,pesticide residue,1,1,0.9
2024,chips,synthetic food colours,1,1,0.9
2024,cider,e coli,1,1,0.85
2024,citrus fruits,artificial wax,1,1,0.8
2024,citrus fruits,pesticide residue,1,1,0.85
2024,coffee,corn,1,1,0.85
2024,coffee,soybeans,1,1,0.85
2024,cooked chicken,fungal infestation,1,1,0.85
2024,cooked chicken,house flies,1,1,0.85
2024,cooking oils,miscible oil,1,1,0.85
2024,counterfeit mysore sandal soap,heavy metals,1,1,0.9
2024,curry powder,ethylene oxide,2,2,0.9
2024,curry powder masala,ethylene oxide,4,2,0.95
2024,dark chocolate,lead,3,1,0.9167
2024,dark chocolate,cadmium,3,1,0.9167
2024,dry fruits,chemical powders,1,1,0.9
2024,eggs,salmonella,1,1,0.85
2024,everest fish curry masala,ethylene oxide,4,3,0.95
2024,everest garam masala,salmonella,2,2,0.9
2024,everest masala,ethylene oxide,1,1,0.85
2024,everest spice mix,ethylene oxide,2,2,0.95
2024,extra virgin olive oil,seed oil,1,1,0.9
2024,extra virgin olive oil,chlorophyll,1,1,0.85
2024,fast food,artificial colours,1,1,0.9
2024,fish,cadmium,1,1,0.9
2024,fish,mercury,1,1,0.9
2024,fish,tcdd,1,1,0.8
2024,fish,escolar,1,1,0.9
2024,fish curry masala,ethylene oxide,1,1,0.95
2024,fruit cake,rotten eggs,1,1,0.85
2024,fruits,pesticide residue,1,1,0.9
2024,garlic,heavy metals,1,1,0.85
2024,ginger and garlic paste,sodium benzoate,1,1,0.9
2024,ginger and garlic paste,colour powder,1,1,0.9
2024,ground spices,sand,1,1,0.85
2024,ground spices,starch,1,1,0.85
2024,ground spices,lead,1,1,0.9
2024,guar gum,ethylene oxide,2,2,0.9
2024,hair oil,used motor oil,1,1,0.95
2024,hamburgers,e coli,1,1,0.9
2024,honey,high fructose corn syrup,1,1,0.8
2024,hot dishes,spoiled food items,1,1,0.85
2024,hydrogenated vanaspati,trans fat,1,1,0.95
2024,ice cream,e coli,1,1,0.85
2024,infant formula,melamine,1,1,0.95
2024,italian olive oil,bogus oil,1,1,0.9
2024,jaggery,banned colours,1,1,0.95
2024,juice,human waste,1,1,0.85
2024,juice,e coli,1,1,0.85
2024,kodo millet,cyclopiazonic acid,1,1,0.95
2024,kodo millet,ergot,1,1,0.9
2024,laddu,ghee,1,1,0.85
2024,laddu,animal fat,1,1,0.75
2024,laddu prasadam,adulterated ghee,3,3,0.85
2024,laddu prasadam,animal fat,2,2,0.85
2024,laddu prasadam,adulterated cow ghee,1,1,0.8
2024,laddu prasadam,low standard ingredients,1,1,0.75
2024,laddus,animal fat,2,2,0.8
2024,lentils,human waste,1,1,0.9
2024,madras curry powder,ethylene oxide,3,2,0.95
2024,maggi masala ae magic,salmonella,2,2,0.9
2024,mangoes,calcium carbide,1,1,0.9
2024,masala powder,duplicate masala powder,1,1,0.85
2024,mcdonald s kedgaon branch products,cheese analogues,1,1,0.85
2024,mdh,ethylene oxide,1,1,0.85
2024,mdh sambhar masala,salmonella,2,2,0.95
2024,mithai,chocolate,1,1,0.85
2024,octopus,cadmium,1,1,0.9
2024,olive oil,palm oil family,2,2,0.85
2024,olive oil,chlorophyll,2,2,0.95
2024,olive oil,denatured rapeseed oil,3,2,0.95
2024,olive oil,rapeseed oil,1,1,0.85
2024,olive oil,sunflower oil,1,1,0.85
2024,olive oil,soybean oil,1,1,0.85
2024,olive oil,beta carotene,1,1,0.95
2024,olive oil,seed oil,2,1,0.925
2024,organic dark chocolate,lead,1,1,0.8
2024,poultry,salmonella,1,1,0.9
2024,prasad,adulterated ghee,1,1,0.9
2024,protein powder,fungal toxin,1,1,0.85
2024,protein powder,pesticide residue,1,1,0.9
2024,protein powder,lead,1,1,0.85
2024,protein powder,arsenic,1,1,0.9
2024,rasgullas,contaminant,1,1,0.75
2024,raw split chickpeas,unsafe substance,1,1,0.75
2024,red velvet cake,cancer causing ingredient,1,1,0.85
2024,rice,pesticide residue,1,1,0.9
2024,sambhar masala,ethylene oxide,3,2,0.95
2024,sambhar masala,salmonella,2,2,0.9
2024,samosa,dead spider,1,1,0.95
2024,seafood,antibiotic residue,1,1,0.9
2024,spice blends,ethylene oxide,2,1,0.9
2024,spice mix,ethylene oxide,1,1,0.95
2024,spice mixes,ethylene oxide,5,2,0.91
2024,spices,artificial colours,1,1,0.9
2024,squid,cadmium,1,1,0.9
2024,srivari laddu prasadam,ghee,1,1,0.95
2024,sturgeon caviar,salmon roe,1,1,0.9
2024,sturgeon caviar,trout roe,1,1,0.9
2024,sweets,excessive colours,1,1,0.85
2024,sweets,decayed cashew nuts,1,1,0.9
2024,sweets,artificial colour,1,1,0.85
2024,sweets,synthetic colourants,1,1,0.95
2024,tea powder,coconut shell powder,1,1,0.95
2024,tea powder,sunset yellow,1,1,0.9
2024,tea powder,tartrazine,1,1,0.9
2024,tea powder,toxic chemical essence,1,1,0.9
2024,tirupati laddus,animal fat,6,5,0.875
2024,tirupati laddus,adulterated ghee,1,1,0.75
2024,tirupati laddus,fish oil,1,1,0.95
2024,tirupati laddus,beef tallow,1,1,0.95
2024,tirupati laddus,palm oil family,1,1,0.9
2024,tirupati laddus,substandard ingredients,1,1,0.75
