corpus,food_pool,subject,predicate,object,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
FSSAI baseline,FSSAI baseline,Staphylococcus aureus,detectedby,IS 5887: Part 2,1,1,0.95,markdown/appendix_b_1.md,"Isolation, identification and enumeration of Staphylococcus aureus... IS 5887: Part 2"
FSSAI baseline,FSSAI baseline,Faecal streptococci,detectedby,IS 5887: Part 2,1,1,0.95,markdown/appendix_b_1.md,"Isolation, identification and enumeration of... Faecal streptococci- IS 5887: Part 2"
FSSAI baseline,FSSAI baseline,Coagulase-Positive Staphylococci,detectedby,IS 5887 (Part 8/Sec 1),1,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci... IS 5887 (Part 8/Sec 1)
FSSAI baseline,FSSAI baseline,Staphylococcus aureus,detectedby,IS 5887 (Part 8/Sec 1),1,1,0.95,markdown/appendix_b_1.md,Staphylococcus aureus... IS 5887 (Part 8/Sec 1)
FSSAI baseline,FSSAI baseline,Coagulase-Positive Staphylococci,detectedby,ISO 6888-1: 1999,1,1,0.95,markdown/appendix_b_1.md,Enumeration Of Coagulase-Positive Staphylococci... ISO 6888-1: 1999
FSSAI baseline,FSSAI baseline,Staphylococcus aureus,detectedby,ISO 6888-1: 1999,1,1,0.95,markdown/appendix_b_1.md,Staphylococcus aureus... ISO 6888-1: 1999
FSSAI baseline,FSSAI baseline,Coagulase-Positive Staphylococci,detectedby,IS 5887 (Part 8/Sec 2),1,1,0.95,markdown/appendix_b_1.md,Enumeration Of Coagulase-Positive Staphylococci... IS 5887 (Part 8/Sec 2)
FSSAI baseline,FSSAI baseline,Staphylococcus aureus,detectedby,IS 5887 (Part 8/Sec 2),1,1,0.95,markdown/appendix_b_1.md,Staphylococcus aureus... IS 5887 (Part 8/Sec 2)
FSSAI baseline,FSSAI baseline,Coagulase-Positive Staphylococci,detectedby,ISO 6888-2: 1999,1,1,0.95,markdown/appendix_b_1.md,Enumeration Of Coagulase-Positive Staphylococci... ISO 6888-2: 1999
FSSAI baseline,FSSAI baseline,Staphylococcus aureus,detectedby,ISO 6888-2: 1999,1,1,0.95,markdown/appendix_b_1.md,Staphylococcus aureus... ISO 6888-2: 1999
FSSAI baseline,FSSAI baseline,Enterobacter sakazakii,detectedby,ISO/TS 22964,1,1,0.95,markdown/appendix_b_1.md,Detection of Enterobacter sakazakii- ISO/TS 22964
FSSAI baseline,FSSAI baseline,coagulase- positive staphylococci,detectedby,Microbiology of food and animal feeding stuffs -- Horizontal method for the enumeration of coagulase- positive staphylococci,1,1,0.95,markdown/appendix_b_1.md,Horizontal method for the enumeration of coagulase- positive staphylococci
FSSAI baseline,FSSAI baseline,ISO 21527-1,producesindicator,Yeast and Mold Count,1,1,0.95,markdown/appendix_b_1.md,Colony count technique in products with water activity greater than 0.95-ISO 21527-1
FSSAI baseline,FSSAI baseline,ISO 21527-2,producesindicator,Yeast and Mold Count,1,1,0.95,markdown/appendix_b_1.md,Colony count technique in products with water activity less than 0.95-ISO 21527-2
FSSAI baseline,FSSAI baseline,IS/ISO 7402,producesindicator,Enterobacteriaceae,1,1,0.95,markdown/appendix_b_1.md,Enterobacteri and Colony-count Technique- IS/ISO 7402
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 1),identifies,Coagulase-Positive Staphylococci,1,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 2),identifies,Coagulase-Positive Staphylococci,1,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci
FSSAI baseline,FSSAI baseline,ISO 6579,detectedby,Salmonella spp.,1,1,0.95,markdown/appendix_b_1.md,detection of Salmonella spp.
FSSAI baseline,FSSAI baseline,ISO 15213,detectedby,sulfite-reducing bacteria,1,1,0.95,markdown/appendix_b_1.md,enumeration of sulfite-reducing bacteria
FSSAI baseline,FSSAI baseline,IS 5887-6,producesindicator,Bacillus cereus,1,1,0.95,markdown/appendix_b_1.md,"Enumeration of Preservative Bacillus Cereus, Bacillus cereus"
FSSAI baseline,FSSAI baseline,ISO 7932,producesindicator,Bacillus cereus,1,1,0.95,markdown/appendix_b_1.md,enumeration of presumptive Bacillus cereus
FSSAI baseline,FSSAI baseline,IS: 5887 Part3,isperformedas,Test Methods,1,1,0.85,markdown/appendix_b_1.md,Test Methods6 IS: 5887 Part3
FSSAI baseline,FSSAI baseline,"IS: 14988, Part 1",isperformedas,Test Methods,1,1,0.85,markdown/appendix_b_1.md,"IS: 14988, Part 1"
FSSAI baseline,FSSAI baseline,"IS:5887, (Part V)",isperformedas,Test Methods,1,1,0.85,markdown/appendix_b_1.md,"IS:5887, (Part V)"
FSSAI baseline,FSSAI baseline,ev_sample_set_0001,isperformedat,three different accredited laboratories,1,1,0.95,markdown/appendix_b_1.md,tested from three different accredited laboratories
FSSAI baseline,FSSAI baseline,ISO 15213,detectedby,sulfite-reducing Bacteria,1,1,0.95,markdown/appendix_b_1.md,enumeration of sulfite-reducing Bacteria... ISO 15213
FSSAI baseline,FSSAI baseline,"IS:5887, (Part V)",detectedby,Vibrio cholerae,1,1,0.95,markdown/appendix_b_1.md,"Isolation, identification and enumeration of Vibrio cholerae... IS:5887, (Part V)"
FSSAI baseline,FSSAI baseline,"IS:5887, (Part V)",detectedby,Vibrio parahaemolyticus,1,1,0.95,markdown/appendix_b_1.md,"Isolation, identification and enumeration of... Vibrio parahaemolyticus - IS:5887, (Part V)"
FSSAI baseline,FSSAI baseline,ISO/TS 39,detectedby,Vibrio parahaemolyticus,1,1,0.95,markdown/appendix_b_1.md,Detection of Vibrio parahaemolyticus... ISO/TS 39
FSSAI baseline,FSSAI baseline,ISO/TS 39,detectedby,Vibrio cholerae,1,1,0.95,markdown/appendix_b_1.md,Detection of... Vibrio cholerae-ISO/TS 39
FSSAI baseline,FSSAI baseline,Samples,isperformedat,Notified laboratory,1,1,0.95,markdown/appendix_b_1.md,shall be submitted to the notified laboratory
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 1),detectedby,Coagulase-Positive Staphylococci,1,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 1),detectedby,Faecal streptococci,1,1,0.95,markdown/appendix_b_1.md,Section 1 Faecal streptococci
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 2),detectedby,Coagulase-Positive Staphylococci,1,1,0.95,markdown/appendix_b_1.md,Enumeration of Coagulase-Positive Staphylococci
FSSAI baseline,FSSAI baseline,IS 5887: Part 1,detectedby,Escherichia coli,1,1,0.95,markdown/appendix_b_1.md,"Isolation, Identification and Enumeration of Escherichia coli"
FSSAI baseline,FSSAI baseline,ISO: 16649-2,detectedby,Escherichia coli,1,1,0.95,markdown/appendix_b_1.md,enumeration of beta- glucuronidase-positive Escherichia coli
FSSAI baseline,FSSAI baseline,IS 14988: Part 1,identifies,Listeria Monocytogenes,1,1,0.95,markdown/appendix_b_1.md,Detection and Enumeration of Listeria Monocytogenes
FSSAI baseline,FSSAI baseline,IS 14988: Part 2,detectedby,Listeria monocytogenes,1,1,0.95,markdown/appendix_b_1.md,Detection and Enumeration of Listeria monocytogenes
FSSAI baseline,FSSAI baseline,Escherichia coli,detectedby,IS 5887: Part 1,1,1,0.95,markdown/appendix_b_1.md,Escherichia coli ... IS 5887: Part 1
FSSAI baseline,FSSAI baseline,sample units,isperformedat,accredited laboratories,1,1,0.95,markdown/appendix_b_1.md,Each of these three sets shall be tested in three different accredited laboratories
FSSAI baseline,FSSAI baseline,regulatory compliance testing,isperformedas,reference test methods,1,1,0.95,markdown/appendix_b_1.md,testing in laboratory shall be ensured as per reference test methods
FSSAI baseline,FSSAI baseline,IS/ISO 7402,identifies,Enterobacteriaceae,1,1,0.95,markdown/appendix_b_1.md,Enumeration of Enterobacteriaceae... IS/ISO 7402
FSSAI baseline,FSSAI baseline,ISO6579,detectedby,Salmonella spp.,1,1,0.95,markdown/appendix_b_1.md,detection of Salmonella spp.- ISO6579
FSSAI baseline,FSSAI baseline,IS 5887 (Part 8/Sec 1),producesindicator,other species,1,1,0.9,markdown/appendix_b_1.md,Staphylococcus aureus and other species
FSSAI baseline,FSSAI baseline,ISO 6579,identifies,Salmonella spp.,1,1,0.95,markdown/appendix_b_1.md,detection of Salmonella spp.- ISO 6579
FSSAI baseline,FSSAI baseline,ISO 11290-1,identifies,Listeria monocytogenes,1,1,0.95,markdown/appendix_b_1.md,detection and enumeration of Listeria monocytogenes ... ISO 11290-1
FSSAI baseline,FSSAI baseline,IS 14988-1,producesindicator,Listeria Monocytogenes,1,1,0.95,markdown/appendix_b_1.md,Detection and Enumeration of Listeria Monocytogenes ... IS 14988-1
FSSAI baseline,FSSAI baseline,Lactic acid bacteria,detectedby,ISO 15214/IS 16068,1,1,0.95,markdown/appendix_b_1.md,For Lactic acid bacteria ISO 15214/IS 16068
FSSAI baseline,FSSAI baseline,Bifidobacteria,detectedby,ISO 29981,1,1,0.95,markdown/appendix_b_1.md,for Bifidobacteria ISO 29981
FSSAI baseline,FSSAI baseline,Salmonella,producesindicator,IS 5887 Part3 / ISO 6579,1,1,0.95,markdown/appendix_b_1.md,Test Methods IS 5887 Part3 / ISO 6579
FSSAI baseline,FSSAI baseline,Listeria monocytogenes,detectedby,IS 14988 Part 1 / ISO 11290-1,1,1,0.95,markdown/appendix_b_1.md,Test Methods ... IS 14988 Part 1 / ISO 11290-1
FSSAI baseline,FSSAI baseline,Three sets,isperformedat,three different accredited laboratories,1,1,0.95,markdown/appendix_b_1.md,tested in three different accredited laboratories
FSSAI baseline,FSSAI baseline,testing in laboratory,isperformedas,reference test methods,1,1,0.95,markdown/appendix_b_1.md,testing in laboratory shall be ensured as per the methods given in the table 'reference test methods'
FSSAI baseline,FSSAI baseline,AlternativeAnalyticalMethods,requireskit,InHouseTesting,1,1,0.95,markdown/appendix_b_1.md,for in-house testing only
FSSAI baseline,FSSAI baseline,microbiological testing,isperformedon,set (n) of five samples,1,1,0.95,markdown/appendix_b_1.md,set (n) of five samples shall be tested
FSSAI baseline,FSSAI baseline,microbiological testing,isperformedat,three different accredited laboratories,1,1,0.95,markdown/appendix_b_1.md,tested from three different accredited laboratories
FSSAI baseline,FSSAI baseline,microbiological testing,isperformedas,reference test methods,1,1,0.95,markdown/appendix_b_1.md,testing in laboratory shall be ensured as per reference test methods
FSSAI baseline,FSSAI baseline,Aerobic Plate Count,producesindicator,IS 5402/ ISO:4833,1,1,0.95,markdown/appendix_b_1.md,Aerobic Plate Count ... IS 5402/ ISO:4833
FSSAI baseline,FSSAI baseline,Escherichia coli,detectedby,IS 5887 : Part 1,1,1,0.95,markdown/appendix_b_1.md,Escherichia coli ... IS 5887 : Part 1
FSSAI baseline,FSSAI baseline,Escherichia coli,detectedby,ISO: 3,1,1,0.95,markdown/appendix_b_1.md,Escherichia coli ... ISO: 3
FSSAI baseline,FSSAI baseline,"IS: 14988, Part 1",identifies,Detection method for Listeria monocytogenes,1,1,0.95,markdown/appendix_b_1.md,"Part 1: Detection method – IS: 14988, Part 1"
FSSAI baseline,FSSAI baseline,Staphylococcus aureus,detectedby,IS 5887 (Part 8/Sec 2) / ISO 6888-3,1,1,0.95,markdown/appendix_b_1.md,Staphylococcus aureus ... IS 5887 (Part 8/Sec 2) / ISO 6888-3
FSSAI baseline,FSSAI baseline,Salmonella,detectedby,ISO6579,1,1,0.95,markdown/appendix_b_1.md,Salmonella ... ISO6579
FSSAI baseline,FSSAI baseline,degumming of oils and fats,inputto,oils and fats,1,1,0.95,markdown/appendix_c_2.md,degumming of: oils and fats
FSSAI baseline,FSSAI baseline,interesterification,inputto,oils and fats,1,1,0.95,markdown/appendix_c_2.md,interesterificati | oils and fats
FSSAI baseline,FSSAI baseline,Frozen Dessert or Frozen Confection,outputof,freezing,1,1,0.95,markdown/chapter_2_1_dairy_products_and_analogues.md,product obtained by freezing a pasteurised mix
FSSAI baseline,FSSAI baseline,Rice bran oil,outputof,rice milling,1,1,0.95,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,removed during the process of rice milling
FSSAI baseline,FSSAI baseline,solvent extracted oil,inputto,Refined Rice Bran Oil,1,1,0.95,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,obtained from solvent extracted oil
FSSAI baseline,FSSAI baseline,Test for Argemone oil,producesindicator,negative,1,1,0.95,markdown/chapter_2_2_fats_oils_and_fat_emulsions.md,Test for Argemone oil shall be negative
FSSAI baseline,FSSAI baseline,Soybean-based beverage film,inputto,soybean-based beverage,1,1,0.95,markdown/appendix_a_4.md,Film formed on the surface of boiling soybean-based beverage that is dried
FSSAI baseline,FSSAI baseline,Sample,isperformedat,notified laboratory,1,1,0.95,markdown/appendix_b_1.md,submitted to the notified laboratory
FSSAI baseline,FSSAI baseline,Cocoa bean,detectedby,Food Safety and Standards Authority of India Manual of Method of Analysis of Food,1,1,0.95,markdown/chapter_2_3_fruit_vegetable_products.md,The product shall be analysed as provided in the relevant Food Safety and Standards Authority of India Manual of Method of Analysis of Food
FSSAI baseline,FSSAI baseline,Basmati Rice,detectedby,Polymerase Chain Reaction (PCR) test,1,1,0.95,markdown/chapter_2_4_cereals_and_cereal_products.md,confirmation for Basmati Rice variety shall be done by Polymerase Chain Reaction (PCR) test
FSSAI baseline,FSSAI baseline,minced meat or meat emulsion,inputto,stuffing into casing with a mechanical stuffer,1,1,0.95,markdown/chapter_2_5_meat_and_meat_products_1.md,stuffed into the casing with the help of a mechanical stuffer
FSSAI baseline,FSSAI baseline,Frozen cephalopods,inputto,freezing process,1,1,0.95,markdown/chapter_2_6_fish_and_fish_products.md,product after preparation shall be subject to a freezing process
FSSAI baseline,FSSAI baseline,smoking,inputto,salting,1,1,0.85,markdown/chapter_2_6_fish_and_fish_products.md,"integrated combination of salting, drying, heating and smoking steps"
FSSAI baseline,FSSAI baseline,smoking,inputto,drying,1,1,0.85,markdown/chapter_2_6_fish_and_fish_products.md,"integrated combination of salting, drying, heating and smoking steps"
FSSAI baseline,FSSAI baseline,smoking,inputto,heating,1,1,0.85,markdown/chapter_2_6_fish_and_fish_products.md,"integrated combination of salting, drying, heating and smoking steps"
FSSAI baseline,FSSAI baseline,smoking,inputto,smoking,1,1,0.85,markdown/chapter_2_6_fish_and_fish_products.md,"integrated combination of salting, drying, heating and smoking steps"
FSSAI baseline,FSSAI baseline,"Objectionable odours, flavours, texture or colours",producesindicator,Defective scallop sample,1,1,0.95,markdown/chapter_2_6_fish_and_fish_products.md,"sample unit shall be considered as defective when it exhibits... Odour, flavour, texture and colour"
FSSAI baseline,FSSAI baseline,sample unit,producesindicator,Distinct objectionable odours or flavours,1,1,0.95,markdown/chapter_2_6_fish_and_fish_products.md,Distinct objectionable odours or flavours indicative of decomposition
FSSAI baseline,FSSAI baseline,White beeswax,outputof,bleaching the yellow beeswax with oxidizing agents,1,1,0.95,markdown/chapter_2_8_sweetening_agents_including_honey.md,White beeswax is obtained by bleaching the yellow beeswax with oxidizing agents
FSSAI baseline,FSSAI baseline,Grape brandy,outputof,Distillation,1,1,0.95,markdown/comp_alcoholic_beverages_iii_28_08_2023.md,Distillation shall be carried out to a suitable strength
FSSAI baseline,FSSAI baseline,single human intervention study,producesindicator,shown,1,1,0.9,markdown/compendium_nutra_29_09_2021.md,use of word 'shown' ... when a single human intervention study shows significant benefit
FSSAI baseline,FSSAI baseline,more than one human intervention studies,producesindicator,Proven,1,1,0.9,markdown/compendium_nutra_29_09_2021.md,use of word 'Proven' ... when more than one human intervention studies
FSSAI baseline,FSSAI baseline,accredited laboratory,isperformedat,sealed container of the remaining fourth part of the sample,1,1,0.95,markdown/fss_gazete_rules_2011.md,sent to an accredited laboratory
FSSAI baseline,FSSAI baseline,Food Analyst,isperformedon,sealed container of first part of the sample,1,1,0.95,markdown/fss_gazete_rules_2011.md,to whom the sealed container of first part of the sample was sent
FSSAI baseline,FSSAI baseline,NABL accredited/ FSSAI notified laboratory,isperformedat,SampleAnalysis,1,1,0.95,markdown/fss_gazete_rules_2011.md,send the sample to any NABL accredited/ FSSAI notified laboratory for analysis
FSSAI baseline,FSSAI baseline,Food Analyst,isperformedas,FoodAnalysis,1,1,0.95,markdown/fss_gazete_rules_2011.md,to have the same analysed by the Food Analyst
FSSAI baseline,FSSAI baseline,sealed container of one part of the sample,isperformedon,Analysis,1,1,0.95,markdown/fss_rules_2011.md,one part of the sample for analysis
FSSAI baseline,FSSAI baseline,sealed container of one part of the sample,isperformedat,Food Analyst,1,1,0.95,markdown/fss_rules_2011.md,sent in a sealed packet to the Food Analyst
FSSAI baseline,FSSAI baseline,sealed container of the remaining fourth part of the sample,isperformedat,accredited laboratory,1,1,0.95,markdown/fss_rules_2011.md,sent to an accredited laboratory
FSSAI baseline,FSSAI baseline,referral laboratory,isperformedat,AnalyzeSample,1,1,0.95,markdown/fss_rules_2011.md,"forward... to referral laboratory, for analysis"
FSSAI baseline,FSSAI baseline,Accredited lab,isperformedat,state or the neighboring state,1,1,0.95,markdown/fss_rules_2011.md,Accredited lab ... should be within the state or the neighboring state
FSSAI baseline,FSSAI baseline,Food Analyst,producesindicator,Form VII A,1,1,0.95,markdown/fss_rules_2011.md,report of Food Analyst in Form VII A
FSSAI baseline,FSSAI baseline,Food Analyst,isperformedas,SampleAnalysis,1,1,0.95,markdown/fss_rules_2011.md,analysed by the Food Analyst
FSSAI baseline,FSSAI baseline,Certificate of Analysis,isperformedon,sample,1,1,0.95,markdown/fss_rules_2011.md,Certificate that the sample... was received
FSSAI baseline,FSSAI baseline,sample,isperformedat,Referral Food Laboratory,1,1,0.95,markdown/fss_rules_2011.md,Certificate of Analysis by the Referral Food Laboratory
FSSAI baseline,FSSAI baseline,analysis,isperformedon,food sample,1,1,0.95,markdown/rule_gaz.md,नमून े क नमून े जवश्लेषण के जलए प्राप्त हुआ ह ै
FSSAI baseline,FSSAI baseline,analysis,isperformedat,Accredited Food Laboratory,1,1,0.95,markdown/rule_gaz.md,जनर्िाष् ट खाद्य प्रयोगिाल
FSSAI baseline,FSSAI baseline,AOAC,detectedby,food articles,1,1,0.95,markdown/rule_gaz.md,AOAC... उनका उपयोग खाद्य वस्तुओं के नमूनों का विश्लेषण करने के लिए किया जाएगा
FSSAI baseline,FSSAI baseline,Food Chemists,detectedby,food articles,1,1,0.95,markdown/rule_gaz.md,खाद्य रसायन... उनका उपयोग खाद्य वस्तुओं के नमूनों का विश्लेषण करने के लिए किया जाएगा
FSSAI baseline,FSSAI baseline,Indian Standards Bureau,detectedby,food articles,1,1,0.95,markdown/rule_gaz.md,भारतीय मानक ब्यूरो... उनका उपयोग खाद्य वस्तुओं के नमूनों का विश्लेषण करने के लिए किया जाएगा
FSSAI baseline,FSSAI baseline,food articles,detectedby,Woodman,1,1,0.95,markdown/rule_gaz.md,वुडमैन... उनका उपयोग खाद्य वस्तुओं के नमूनों का विश्लेषण करने के लिए किया जाएगा
FSSAI baseline,FSSAI baseline,Lewin-Lewin,detectedby,food articles,1,1,0.95,markdown/rule_gaz.md,लिवंटन-लिवंटन... उनका उपयोग खाद्य वस्तुओं के नमूनों का विश्लेषण करने के लिए किया जाएगा
FSSAI baseline,FSSAI baseline,International Union of Pure and Applied Chemistry,detectedby,food articles,1,1,0.95,markdown/rule_gaz.md,इंटरनेशनल यूनिन ऑफ प्योर एंड अप्लाइड कैमिस्ट्री... उनका उपयोग खाद्य वस्तुओं के नमूनों का विश्लेषण करने के लिए किया जाएगा
FSSAI baseline,FSSAI baseline,Referral Food Laboratory,isperformedat,Analysis,1,1,0.95,markdown/rule_gaz.md,CERTIFICATE OF ANALYSIS BY THE REFERRAL FOOD LABORATORY
FSSAI baseline,FSSAI baseline,Food Analyst,isperformedon,SampleAnalysis,1,1,0.9,markdown/rule_gaz.md,received from ... a sample ... for analysis
FSSAI baseline,FSSAI baseline,Food Analyst,isperformedas,AnalysisExecution,1,1,0.9,markdown/rule_gaz.md,has been analysed on ... and the result of its analysis is given below
FSSAI baseline,FSSAI baseline,IS 5403,detectedby,Yeast and Mold,1,1,0.95,markdown/appendix_b_1.md,Method for Yeast and Mold Count... IS 5403
FSSAI baseline,FSSAI baseline,ISO 21527-1,detectedby,Yeasts and moulds,1,1,0.95,markdown/appendix_b_1.md,enumeration of yeasts and moulds... ISO 21527-1
FSSAI baseline,FSSAI baseline,ISO 21527-2,detectedby,Yeasts and moulds,1,1,0.95,markdown/appendix_b_1.md,enumeration of yeasts and moulds... ISO 21527-2
FSSAI baseline,FSSAI baseline,IS/ISO 7402,detectedby,Enterobacteriaceae,1,1,0.95,markdown/appendix_b_1.md,Enumeration of Enterobacteriaceae... IS/ISO 7402
FSSAI baseline,FSSAI baseline,ISO 6888-1: 1999,detectedby,Staphylococcus aureus,1,1,0.95,markdown/appendix_b_1.md,enumeration of Coagulase-Positive Staphylococci... ISO 6888-1: 1999
FSSAI baseline,FSSAI baseline,ISO 6888-2: 1999,producesindicator,Staphylococcus aureus,1,1,0.95,markdown/appendix_b_1.md,enumeration of Coagulase-Positive Staphylococci... ISO 6888-2: 1999
FSSAI baseline,FSSAI baseline,IS :14397,producesindicator,E.coli,1,1,0.95,markdown/appendix_b_1.md,"detection, isolation and identification of pathogen i.e. E.coli... IS :14397"
FSSAI baseline,FSSAI baseline,Deep Dehydration,producesindicator,bivalve molluscs,1,1,0.95,markdown/chapter_2_6_fish_and_fish_products.md,Deep Dehydration.-greater than 10% of the weight of the bivalve molluscs
FSSAI baseline,FSSAI baseline,Foreign matter,producesindicator,bivalve molluscs,1,1,0.95,markdown/chapter_2_6_fish_and_fish_products.md,Foreign matter.- The presence in the sample unit of any matter which has not been derived from bivalve molluscs
FSSAI baseline,FSSAI baseline,Odour or flavor,producesindicator,bivalve molluscs,1,1,0.95,markdown/chapter_2_6_fish_and_fish_products.md,Odour or flavor.- Persistent and distinct objectionable odours or flavours indicative of decomposition or rancidity
