food,adulterant_or_substitute,effect,same_article_articles,same_snippet_articles,article_ids,inference_level
Milk,urea,liver damage,5,2,milk-2d4c6eb27aa0b942; milk-a1ae27d81f0013a5; milk-bb864d8d03055611; milk-d1fcc18c1d80bd0a; oil-08739343ef4cafb5,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,gastrointestinal illness,4,2,1fc04845-1f82-4efa-80fc-80e8feefa6ed; milk-8a55933f0d5da63a; milk-d76c56c09e58067b; oil-e3fbe637ba51632f,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,vomiting,4,2,2bc11203-0268-4c4a-9fe6-c168449ca3cf; milk-7e13b24dc1c7f107; milk-8a55933f0d5da63a; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,vomiting,4,2,2bc11203-0268-4c4a-9fe6-c168449ca3cf; milk-7e13b24dc1c7f107; milk-8a55933f0d5da63a; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,cardiovascular disease,4,2,386b1c27-49a4-43e7-b4b1-3457f9466a37; 67c4a0dd-5f32-4dde-b733-4a4a9e5dfafb; 6901ef7b-f98a-4b3a-b622-85196fe10ffb; d11fa038-1162-4d93-9df5-6d5b35b8628b,same-article contextual hypothesis; causal edge is not explicit
Milk,water,gastrointestinal illness,4,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-c9d34ca0c97e2a93; milk-d76c56c09e58067b; oil-e3fbe637ba51632f,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,food poisoning,4,2,milk-18cbe2e91f8e5d65; milk-483ee5bce86d2d3d; milk-74d1d6aaa4ade7cf; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,kidney damage,4,2,milk-2d4c6eb27aa0b942; milk-601312c7904467a2; milk-bb864d8d03055611; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,allergic reaction,3,2,0109eea0-3adc-4177-a6f7-e3bc31bf237d; 7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,kidney damage,3,2,08675130-4804-4198-9157-40e7f9a9d248; milk-2d4c6eb27aa0b942; milk-3860e6654d518030,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,cardiovascular disease,3,2,386b1c27-49a4-43e7-b4b1-3457f9466a37; 67c4a0dd-5f32-4dde-b733-4a4a9e5dfafb; d11fa038-1162-4d93-9df5-6d5b35b8628b,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,renal failure,3,2,7d796579-8acb-4851-a31f-526034bb0b78; milk-e684b29654db6793; milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Paneer,cheese analogue,allergic reaction,3,2,ad0567c1-e472-4cb8-b0d9-b8305371eefd; milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,argemone oil,cancer/carcinogenicity,3,2,af478a64-49c5-4253-b271-591bf8a3ce97; milk-74d1d6aaa4ade7cf; milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,food poisoning,3,2,milk-18cbe2e91f8e5d65; milk-74d1d6aaa4ade7cf; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Paneer,cheese analogue,food poisoning,3,2,milk-18cbe2e91f8e5d65; milk-998381f3381f9db4; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,kidney damage,3,2,milk-2d4c6eb27aa0b942; milk-601312c7904467a2; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
honey,rice syrup,increases sugar level in the body,2,2,384a803e-eb96-4abf-a0ea-3e3f98291e8e; milk-276ea065de599828,same-article contextual hypothesis; causal edge is not explicit
honey,rice syrup,evolution of drug resistant superbugs,2,2,384a803e-eb96-4abf-a0ea-3e3f98291e8e; milk-276ea065de599828,same-article contextual hypothesis; causal edge is not explicit
honey,corn syrup,evolution of drug resistant superbugs,2,2,384a803e-eb96-4abf-a0ea-3e3f98291e8e; milk-276ea065de599828,same-article contextual hypothesis; causal edge is not explicit
honey,sugarcane syrup,evolution of drug resistant superbugs,2,2,384a803e-eb96-4abf-a0ea-3e3f98291e8e; milk-276ea065de599828,same-article contextual hypothesis; causal edge is not explicit
honey,beetroot syrup,evolution of drug resistant superbugs,2,2,384a803e-eb96-4abf-a0ea-3e3f98291e8e; milk-276ea065de599828,same-article contextual hypothesis; causal edge is not explicit
mithai,artificial dyes,allergic reaction,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
mithai,metallic powders,allergic reaction,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
mithai,metallic powders,nausea,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,serious health risks,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; fa660a6b-3403-4a6d-ab05-deee1b44c706,same-article contextual hypothesis; causal edge is not explicit
Milk,water,rashes,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,mineral oil,gastrointestinal illness,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,mineral oil,food poisoning,2,2,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Paneer,cheese analogue,long term health issues,2,2,ad0567c1-e472-4cb8-b0d9-b8305371eefd; milk-998381f3381f9db4,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,dizziness,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,headaches,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,heart failure,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,infertility,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,sodium bicarbonate,dizziness,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,sodium bicarbonate,headaches,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,sodium bicarbonate,heart failure,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,sodium bicarbonate,infertility,2,2,milk-0bc625b573fb9e74; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Paneer,carbonate neutraliser,serious health risk,2,2,milk-15b9c81a4418943c; milk-97a7a14a30d1e8f2,same-article contextual hypothesis; causal edge is not explicit
Milk,carbonate neutraliser,serious health risk,2,2,milk-15b9c81a4418943c; milk-97a7a14a30d1e8f2,same-article contextual hypothesis; causal edge is not explicit
turmeric,lead chromate,cancer/carcinogenicity,2,2,milk-2d4c6eb27aa0b942; milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
Milk,water,death,2,2,milk-74d1d6aaa4ade7cf; milk-c9d34ca0c97e2a93,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,death,2,2,milk-8d24d67196b8468f; milk-c3d400494092465e,same-article contextual hypothesis; causal edge is not explicit
Milk,water,long term health risks,2,2,milk-a1ae27d81f0013a5; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
mdh sambhar masala,salmonella,fflo acuteeffect,2,2,milk-b87ea04f3974c7d3; milk-ef1ee9288efe9a83,same-article contextual hypothesis; causal edge is not explicit
everest garam masala,salmonella,fflo acuteeffect,2,2,milk-b87ea04f3974c7d3; milk-ef1ee9288efe9a83,same-article contextual hypothesis; causal edge is not explicit
sambhar masala,salmonella,fflo acuteeffect,2,2,milk-b87ea04f3974c7d3; milk-ef1ee9288efe9a83,same-article contextual hypothesis; causal edge is not explicit
maggi masala ae magic,salmonella,fflo acuteeffect,2,2,milk-b87ea04f3974c7d3; milk-ef1ee9288efe9a83,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,food poisoning,2,2,milk-d76c56c09e58067b; oil-e3fbe637ba51632f,same-article contextual hypothesis; causal edge is not explicit
olive oil,denatured rapeseed oil,fflo chroniceffect,2,2,oil-b697d96d9a9efcdd; oil-ed891cb2ad0773f4,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,cancer/carcinogenicity,5,1,1fc04845-1f82-4efa-80fc-80e8feefa6ed; milk-2d4c6eb27aa0b942; milk-3f1ab04360b80cfd; milk-601312c7904467a2; milk-c238ac533ab8e0b9,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,gastrointestinal illness,4,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d; 7984f772-8c6a-46cb-af36-a7df6ed37ecc; c8ddee14-df38-49aa-9d85-a7c6b34273a6; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,cancer/carcinogenicity,4,1,08675130-4804-4198-9157-40e7f9a9d248; milk-74d1d6aaa4ade7cf; milk-9072720be8595f77; milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,ethylene glycol,acuteeffect,3,1,276e27ef-82bd-4911-a4df-9d2448b232fb; milk-ae0fa0b757ba21df; milk-f15f75c19712ee99,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,nausea,3,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b; milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
Khoya/mawa,starch,gastrointestinal illness,3,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; 8d207b3c-d7d6-4776-a05d-ec3f854e4f5e; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,liver damage,3,1,milk-2d4c6eb27aa0b942; milk-a1ae27d81f0013a5; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,death,3,1,milk-465f847feeedb412; milk-74d1d6aaa4ade7cf; milk-c238ac533ab8e0b9,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,renal failure,3,1,milk-662fabb949ebe266; milk-78f07fed8b3a6320; milk-b3b2fadc15fca59a,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,nausea,3,1,milk-7e13b24dc1c7f107; milk-d76c56c09e58067b; milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,respiratory issues,2,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d; 6901ef7b-f98a-4b3a-b622-85196fe10ffb,same-article contextual hypothesis; causal edge is not explicit
Paneer,urea,cancer/carcinogenicity,2,1,08675130-4804-4198-9157-40e7f9a9d248; milk-601312c7904467a2,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,vomiting,2,1,2bc11203-0268-4c4a-9fe6-c168449ca3cf; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,maltodextrin,vomiting,2,1,2bc11203-0268-4c4a-9fe6-c168449ca3cf; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,obesity,2,1,386b1c27-49a4-43e7-b4b1-3457f9466a37; d11fa038-1162-4d93-9df5-6d5b35b8628b,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,cardiovascular disease,2,1,386b1c27-49a4-43e7-b4b1-3457f9466a37; 67c4a0dd-5f32-4dde-b733-4a4a9e5dfafb,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,obesity,2,1,386b1c27-49a4-43e7-b4b1-3457f9466a37; d11fa038-1162-4d93-9df5-6d5b35b8628b,same-article contextual hypothesis; causal edge is not explicit
Ghee,vegetable oil/fat,cardiovascular disease,2,1,67c4a0dd-5f32-4dde-b733-4a4a9e5dfafb; d11fa038-1162-4d93-9df5-6d5b35b8628b,same-article contextual hypothesis; causal edge is not explicit
Khoya/mawa,starch,digestive irritation,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Khoya/mawa,starch,allergic reaction,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; 8d207b3c-d7d6-4776-a05d-ec3f854e4f5e,same-article contextual hypothesis; causal edge is not explicit
Khoya/mawa,detergent,digestive irritation,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
silver vark,aluminium foil,rashes,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,water,digestive irritation,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,mineral oil,allergic reaction,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,mineral oil,rashes,2,1,7984f772-8c6a-46cb-af36-a7df6ed37ecc; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,caustic soda,cancer/carcinogenicity,2,1,8d8b9ba9-5da4-4861-89db-348400c8ef68; milk-2d4c6eb27aa0b942,same-article contextual hypothesis; causal edge is not explicit
Ghee,palm oil family,cancer/carcinogenicity,2,1,c8ddee14-df38-49aa-9d85-a7c6b34273a6; ea51c75b-4b85-48fb-bbb7-8fde23c110aa,same-article contextual hypothesis; causal edge is not explicit
Milk,unspecified adulterant,renal failure,2,1,milk-0ebd15da614c2540; milk-a33e6d1395071a46,same-article contextual hypothesis; causal edge is not explicit
Paneer,washing soda,food poisoning,2,1,milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Paneer,washing soda,allergic reaction,2,1,milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,allergic reaction,2,1,milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Paneer,urea,food poisoning,2,1,milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Paneer,urea,allergic reaction,2,1,milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,allergic reaction,2,1,milk-18cbe2e91f8e5d65; oil-9f16df2b7898747a,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,kidney damage,2,1,milk-2d4c6eb27aa0b942; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,liver damage,2,1,milk-2d4c6eb27aa0b942; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,formalin/formaldehyde,kidney damage,2,1,milk-2d4c6eb27aa0b942; milk-601312c7904467a2,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,liver damage,2,1,milk-2d4c6eb27aa0b942; milk-3860e6654d518030,same-article contextual hypothesis; causal edge is not explicit
fish,formalin/formaldehyde,cancer/carcinogenicity,2,1,milk-2d4c6eb27aa0b942; milk-9072720be8595f77,same-article contextual hypothesis; causal edge is not explicit
fish,ammonia,cancer/carcinogenicity,2,1,milk-2d4c6eb27aa0b942; milk-9072720be8595f77,same-article contextual hypothesis; causal edge is not explicit
Milk,palm oil family,liver damage,2,1,milk-3860e6654d518030; milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,palm oil family,stomach pain,2,1,milk-3860e6654d518030; oil-0e31cfbc7c7f200f,same-article contextual hypothesis; causal edge is not explicit
Milk,salt,death,2,1,milk-465f847feeedb412; milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,anuria,2,1,milk-662fabb949ebe266; milk-92d9f94360892623,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,vomiting,2,1,milk-662fabb949ebe266; milk-92d9f94360892623,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,diarrhoea,2,1,milk-67914a8ce22fe5a5; milk-8d24d67196b8468f,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,nausea,2,1,milk-7e13b24dc1c7f107; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
fish,mercury,cancer/carcinogenicity,2,1,milk-9072720be8595f77; milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,long term health risks,2,1,milk-a1ae27d81f0013a5; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,long term health risks,2,1,milk-a1ae27d81f0013a5; milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,water,liver damage,2,1,milk-a1ae27d81f0013a5; oil-08739343ef4cafb5,same-article contextual hypothesis; causal edge is not explicit
turmeric,metanil yellow,cancer/carcinogenicity,2,1,milk-bb864d8d03055611; milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,skin problems,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,respiratory issues,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,gastrointestinal illness,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,allergic reaction,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,skin problems,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,gastrointestinal illness,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,allergic reaction,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,skin problems,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,respiratory issues,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,artificial flavourings,gastrointestinal illness,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,artificial flavourings,allergic reaction,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,artificial flavourings,skin problems,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Ghee,artificial flavourings,respiratory issues,1,1,0109eea0-3adc-4177-a6f7-e3bc31bf237d,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,gastrointestinal illness,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,organ damage,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,kidney damage,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,gastrointestinal illness,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,urea,gastrointestinal illness,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,urea,organ damage,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,formalin/formaldehyde,gastrointestinal illness,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,formalin/formaldehyde,organ damage,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Paneer,formalin/formaldehyde,kidney damage,1,1,08675130-4804-4198-9157-40e7f9a9d248,same-article contextual hypothesis; causal edge is not explicit
Milk,adulterant,obesity,1,1,0d3d65f1-ed69-4173-8d2c-607947b89aca,same-article contextual hypothesis; causal edge is not explicit
Milk,adulterant,high blood pressure,1,1,0d3d65f1-ed69-4173-8d2c-607947b89aca,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,digestive system disturbance,1,1,2dd59c23-06e9-4bf8-adbd-3aec6f6bfe0f,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,nervous system effects,1,1,2dd59c23-06e9-4bf8-adbd-3aec6f6bfe0f,same-article contextual hypothesis; causal edge is not explicit
Ghee,synthetic colors,digestive system disturbance,1,1,2dd59c23-06e9-4bf8-adbd-3aec6f6bfe0f,same-article contextual hypothesis; causal edge is not explicit
Ghee,synthetic colors,nervous system effects,1,1,2dd59c23-06e9-4bf8-adbd-3aec6f6bfe0f,same-article contextual hypothesis; causal edge is not explicit
Ghee,soapstone,digestive system disturbance,1,1,2dd59c23-06e9-4bf8-adbd-3aec6f6bfe0f,same-article contextual hypothesis; causal edge is not explicit
Ghee,soapstone,nervous system effects,1,1,2dd59c23-06e9-4bf8-adbd-3aec6f6bfe0f,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,arterial blockage,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,vanaspati,diabetes,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,arterial blockage,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,obesity,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,diabetes,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,starch,cancer/carcinogenicity,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,arterial blockage,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,animal fat,diabetes,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,cheap oils,cardiovascular disease,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,cheap oils,arterial blockage,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,cheap oils,obesity,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,cheap oils,diabetes,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,cheap oils,cancer/carcinogenicity,1,1,386b1c27-49a4-43e7-b4b1-3457f9466a37,same-article contextual hypothesis; causal edge is not explicit
Ghee,refined oil,gastrointestinal illness,1,1,40846a9f-f6bb-4e8c-a024-24aec3d65678,same-article contextual hypothesis; causal edge is not explicit
Ghee,refined oil,cardiovascular problems,1,1,40846a9f-f6bb-4e8c-a024-24aec3d65678,same-article contextual hypothesis; causal edge is not explicit
Ghee,added fragrance,gastrointestinal illness,1,1,40846a9f-f6bb-4e8c-a024-24aec3d65678,same-article contextual hypothesis; causal edge is not explicit
Ghee,added fragrance,cardiovascular problems,1,1,40846a9f-f6bb-4e8c-a024-24aec3d65678,same-article contextual hypothesis; causal edge is not explicit
chinese garlic,pesticide residue,liver damage,1,1,40ab817e-11a0-4a57-8dcd-e13fef2fbad1,same-article contextual hypothesis; causal edge is not explicit
