food,observed_effect,candidate_adulterant,articles_with_food_effect_context,articles_also_naming_candidate,observed_article_share_pct,laplace_smoothed_presence_pct,mean_candidate_confidence,interpretation
fruit juices,infertility,artificial colours,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
edible oils,headaches,machine oil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
edible oils,heart failure,machine oil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
edible oils,dizziness,machine oil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
edible oils,infertility,machine oil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,headaches,sawdust,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,headaches,brick powder,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,heart failure,sawdust,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,heart failure,brick powder,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,dizziness,sawdust,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,dizziness,brick powder,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,infertility,sawdust,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,infertility,brick powder,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,serious health risk,carbonate neutraliser,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious health risk,carbonate neutraliser,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious health risk,refined oil,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,liver damage,detergent,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney related ailments,ethylene glycol,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,food poisoning,argemone oil,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,vomiting,argemone oil,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,long term health risks,urea,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,long term health risks,detergent,2,2,100.0,75.0,0.875,"hypothesis-ranking association, not a calibrated causal probability"
Milk,long term health risks,water,2,2,100.0,75.0,0.85,"hypothesis-ranking association, not a calibrated causal probability"
spice mixes,toxicity,ethylene oxide,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
spice mixes,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
spice mixes,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
spice mixes,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.925,"hypothesis-ranking association, not a calibrated causal probability"
madras curry powder,toxicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
madras curry powder,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
madras curry powder,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
madras curry powder,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,toxicity,salmonella,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,toxicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,fflo acuteeffect,salmonella,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,cancer/carcinogenicity,salmonella,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,salmonellosis,salmonella,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
sambhar masala,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
curry powder masala,toxicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
curry powder masala,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
curry powder masala,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
curry powder masala,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest fish curry masala,toxicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest fish curry masala,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest fish curry masala,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest spice mix,toxicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest spice mix,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest spice mix,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
everest spice mix,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
guar gum,toxicity,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
guar gum,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
guar gum,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
guar gum,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
curry powder,toxicity,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
curry powder,fflo acuteeffect,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
curry powder,cancer/carcinogenicity,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
curry powder,salmonellosis,ethylene oxide,2,2,100.0,75.0,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mdh sambhar masala,toxicity,salmonella,2,2,100.0,75.0,0.95,"hypothesis-ranking association, not a calibrated causal probability"
