snippet_id,source_id,source_file,source_type,chunk_index,subject,subject_type,subject_id,predicate,object,object_type,object_id,confidence,evidence_span
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,Special dietary food with low sodium content,fflo:FoodCategory,,fflo:hasDefinition,"a food whose special dietary value results from the reduction, restriction, or removal of sodium",xsd:string,,0.95,"special dietary food with low sodium content is a food whose special dietary value results from the reduction, restriction, or removal of sodium"
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,Special dietary food with low sodium content,fkg:Food,,fflo:compliesWith,essential composition and standards,fflo:FoodStandard,,0.95,shall conform to the essential composition and standards
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,0.95,"further to amend the Food Safety and Standards Rules, 2011"
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards (Amendment) Rules, 2017",fflo:FoodStandard,,fflo:issuedBy,Central Government,fflo:RegulatoryBody,,0.95,the Central Government hereby makes the following rules
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:definedIn,"Section 91 of the Food Safety and Standards Act, 2006",fflo:RegulatoryDocument,,0.95,"powers conferred by Section 91 of the Food Safety and Standards Act, 2006"
src_pdf_003_chunk_0002,src_pdf_003,markdown/amend_2_2017.md,pdf,2,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:definedIn,G.S.R.362(E),fflo:RegulatoryDocument,,0.95,published ... vide number G.S.R.362(E)
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Vegetable oils,fflo:FoodCategory,,fflo:hasDefinition,oils produced from oilcakes or oilseeds or oil- bearing materials of plant origin and containing glycerides,xsd:string,,0.95,Vegetable oils means oils produced from oilcakes or oilseeds or oil- bearing materials of plant origin and containing glycerides
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Vegetable oil product,fflo:FoodCategory,,fflo:hasDefinition,"any product obtained for edible purposes by subjecting one or more edible oils to any or a combination of any of the processes or operations, namely, refining, blending, hydrogenation or interesterification and winterization",xsd:string,,0.95,Vegetable oil product means any product obtained for edible purposes by subjecting one or more edible oils to any or a combination of any of the processes or operations
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Vegetable oil product,fflo:FoodCategory,,fflo:hasDefinition,includes any other process which may be notified by the Central Government in the official Gazette,xsd:string,,0.95,includes any other process which may be notified by the Central Government in the official Gazette
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fflo:FoodCategory,,fflo:hasDefinition,"obtained by mechanical procedures e.g expelling and pressing, with or without application of heat",xsd:string,,0.95,"Raw edible oils are obtained by mechanical procedures e.g expelling and pressing, with or without application of heat"
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fflo:FoodCategory,,fflo:hasDefinition,"The expelled/pressed oil may be purified by washing with water, settling, filtering and centrifuging",xsd:string,,0.95,"The expelled/pressed oil may be purified by washing with water, settling, filtering and centrifuging"
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fflo:FoodCategory,,fflo:hasDefinition,No processing aid shall be used,xsd:string,,0.95,No processing aid shall be used
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fkg:Food,,fflo:hasDefinition,Such oils are fit for human consumption,xsd:string,,0.95,Such oils are fit for human consumption
src_pdf_002_chunk_0004,src_pdf_002,markdown/1_chapter_1_general.md,pdf,4,Raw edible oils,fkg:Food,,fflo:compliesWith,sub-regulation 2.2.1,fflo:RegulatoryDocument,,0.95,They shall conform to the provisions mentioned under sub-regulation 2.2.1
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,0.95,"amend the Food Safety and Standards Rules, 2011"
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:FoodStandard,,lkif:created_by,Central Government,fflo:RegulatoryBody,,0.95,Central Government hereby makes the following rules
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:definedIn,Gazette of India,fflo:RegulatoryDocument,,0.95,come into force on the date of their publication in the Official Gazette
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:specifiedIn,"Rule 2.1.2, clause 1, sub-clause (iii), item (b)",fflo:TableReference,,0.95,"rule 2.1, in sub-rule 2.1.2, in clause 1... sub-clause (iii), in item (b)"
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:amends,"Rule 2.1.2, clause 1, sub-clause (iii), item (b)",fflo:RegulatoryDocument,,0.95,"in rule 2.1, in sub-rule 2.1.2, in clause 1... sub-clause (iii), in item (b)"
src_pdf_003_chunk_0001,src_pdf_003,markdown/amend_2_2017.md,pdf,1,"Food Safety and Standards (Amendment) Rules, 2017",fflo:RegulatoryDocument,,UNMAPPED,substitution of 'five years' with 'eight years',fflo:RegulatoryAction,,0.95,"for the words 'five years', the words 'eight years' shall be substituted"
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (Second Amendment) Regulations, 2017",fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards Regulations, 2011",fflo:RegulatoryDocument,,0.95,"खा(cid:20) सुर(cid:22)ा एवं मानक िनयम, 2011 का और संशोधन करने के िलए"
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (Second Amendment) Regulations, 2017",fflo:FoodStandard,,lkif:created_by,Central Government,fflo:RegulatoryBody,,0.95,"के (cid:15)(cid:16)ीय सरकार खा(cid:20) सुर(cid:22)ा और मानक अिधिनयम, 2006"
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (Second Amendment) Regulations, 2017",fflo:RegulatoryDocument,,fflo:appliesTo,"Food Safety and Standards Act, 2006",fflo:RegulatoryDocument,,0.95,"खा(cid:20) सुर(cid:22)ा और मानक अिधिनयम, 2006 (2006 का 34) क(cid:29) धारा 91"
src_pdf_004_chunk_0001,src_pdf_004,markdown/amend_3_2017.md,pdf,1,"Food Safety and Standards (Second Amendment) Regulations, 2017",fflo:RegulatoryDocument,,fflo:hasDefinition,"Food Safety and Standards (Second Amendment) Regulations, 2017",xsd:string,,0.95,"इन िनयम$ का संि(cid:22)1 नाम खा(cid:20) सुर(cid:22)ा और मानक (दूसरा संशोधन) िनयम, 2017"
src_pdf_004_chunk_0003,src_pdf_004,markdown/amend_3_2017.md,pdf,3,"Food Safety and Standards (Second Amendment) Rules, 2017",fflo:FoodStandard,,lkif:created_by,Central Government,fflo:RegulatoryBody,,0.95,Central Government hereby makes the following rules
src_pdf_004_chunk_0003,src_pdf_004,markdown/amend_3_2017.md,pdf,3,"Food Safety and Standards (Second Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,0.95,"further to amend the Food Safety and Standards Rules, 2011"
src_pdf_004_chunk_0003,src_pdf_004,markdown/amend_3_2017.md,pdf,3,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards Act, 2006",fflo:RegulatoryDocument,,0.95,"powers conferred by section 91 of the Food Safety and Standards Act, 2006"
src_pdf_004_chunk_0003,src_pdf_004,markdown/amend_3_2017.md,pdf,3,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:specifiedIn,G.S.R. 362(E),fflo:RegulatoryDocument,,0.95,"notification number G.S.R. 362(E), dated the 5th May, 2011"
src_pdf_004_chunk_0003,src_pdf_004,markdown/amend_3_2017.md,pdf,3,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:specifiedIn,G.S.R. 57(E),fflo:RegulatoryDocument,,0.95,"last amended vide notification number G.S.R. 57(E), dated the 13th January, 2017"
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,Food Safety Authority,fflo:RegulatoryBody,,fflo:actsOnBehalfOf,Central Government,fflo:RegulatoryBody,,0.95,with the prior approval of the Central Government
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,Sub-Divisional Officer,fflo:RegulatoryOfficer,,fflo:hasObligation,TrainingExemption,fflo:ObligationType,,0.95,appointed Sub-Divisional Officer... shall not be required to undergo such training
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,Collector,fflo:RegulatoryOfficer,,fflo:isEmpoweredTo,Delegation,fflo:RegulatoryActionType,,0.95,Collector... may delegate his powers
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,District Magistrate,fflo:RegulatoryOfficer,,fflo:isEmpoweredTo,Delegation,fflo:RegulatoryActionType,,0.95,District Magistrate... may delegate his powers
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,Collector,fflo:RegulatoryOfficer,,fflo:targets,Additional Collector,fflo:RegulatoryOfficer,,0.95,delegate... to an Additional Collector
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,Collector,fflo:RegulatoryOfficer,,fflo:targets,Sub-Divisional Officer,fflo:RegulatoryOfficer,,0.95,delegate... to his Sub-Divisional Officer
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,District Magistrate,fflo:RegulatoryOfficer,,fflo:targets,Additional District Magistrate,fflo:RegulatoryOfficer,,0.95,delegate... to an Additional District Magistrate
src_pdf_004_chunk_0002,src_pdf_004,markdown/amend_3_2017.md,pdf,2,District Magistrate,fflo:RegulatoryOfficer,,fflo:targets,Sub-Divisional Officer,fflo:RegulatoryOfficer,,0.95,delegate... to his Sub-Divisional Officer
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,Commissioner of Food Safety,fflo:RegulatoryOfficer,,fflo:isEmpoweredTo,Appointment,fflo:RegulatoryActionType,,0.95,The commissioner of Food Safety may ... appoint Sub-Divisional Officer
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,Sub-Divisional Officer,fflo:RegulatoryOfficer,,fflo:hasObligation,Training,fflo:ObligationType,,0.95,shall not require to undergo such training
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,Collector,fflo:RegulatoryOfficer,,fflo:isEmpoweredTo,Delegation,fflo:RegulatoryActionType,,0.9,"Where the Collector ... considers necessary, he may delegate"
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,District Magistrate,fflo:RegulatoryOfficer,,fflo:isEmpoweredTo,Delegation,fflo:RegulatoryActionType,,0.9,"or District Magistrate considers necessary, he may delegate"
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards (Second Amendment) Rules, 2017",fflo:RegulatoryDocument,,0.85,"amend the Food Safety and Standards Rules, 2011"
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,"Food Safety and Standards (Second Amendment) Rules, 2017",fflo:RegulatoryDocument,,fflo:definedIn,G.S.R. 1516(E),fflo:RegulatoryDocument,,0.95,G.S.R. 1516(E).—In exercise of the powers
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,fflo:definedIn,G.S.R. 362(E),fflo:RegulatoryDocument,,0.95,"notification number G.S.R. 362(E), dated the 5th May, 2011"
src_pdf_004_chunk_0004,src_pdf_004,markdown/amend_3_2017.md,pdf,4,G.S.R. 57(E),fflo:RegulatoryDocument,,fflo:amends,"Food Safety and Standards Rules, 2011",fflo:RegulatoryDocument,,0.9,last amended vide notification number G.S.R. 57(E)
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,Processed vegetables,fflo:FoodCategory,,fflo:hasSubcategory,Frozen vegetables,fflo:FoodCategory,,0.95,4.2.2 Processed vegetables... 4.2.2.1 Frozen vegetables
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,Processed vegetables,fflo:FoodCategory,,fflo:hasSubcategory,Dried vegetables,fflo:FoodCategory,,0.95,4.2.2 Processed vegetables... 4.2.2.2 Dried vegetables
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,Processed vegetables,fflo:FoodCategory,,fflo:hasSubcategory,"Vegetables in vinegar, oil, brine, or soybean sauce",fflo:FoodCategory,,0.95,"4.2.2.3 Vegetables... in vinegar, oil, brine, or soybean sauce"
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,Processed vegetables,fflo:FoodCategory,,fflo:hasSubcategory,Canned or bottled (pasteurized) or retort pouch vegetables,fflo:FoodCategory,,0.95,4.2.2.4 Canned or bottled (pasteurized) or retort pouch vegetables
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,Processed vegetables,fflo:FoodCategory,,fflo:hasSubcategory,"Vegetable, seaweed, and nut and seed purees and spreads",fflo:FoodCategory,,0.95,4.2.2.5 Vegetable... purees and spreads
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,Processed vegetables,fflo:FoodCategory,,fflo:hasSubcategory,"Vegetable, seaweed, and nut and seed pulps and preparations",fflo:FoodCategory,,0.95,4.2.2.6 Vegetable... pulps and preparations
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,"Vegetable, seaweed, and nut and seed purees and spreads",fflo:FoodCategory,,fflo:hasSubcategory,peanut butter,fflo:FoodCategory,,0.9,purees and spreads (e.g. peanut butter)
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,"Vegetable, seaweed, and nut and seed pulps and preparations",fflo:FoodCategory,,fflo:hasDefinition,vegetable desserts,xsd:string,,0.9,pulps and preparations (e.g. vegetable desserts
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,"Vegetable, seaweed, and nut and seed pulps and preparations",fflo:FoodCategory,,fflo:hasSubcategory,sauces,fflo:FoodCategory,,0.9,pulps and preparations (e.g. vegetable desserts and sauces
src_pdf_005_chunk_0004,src_pdf_005,markdown/appendix_a_4.md,pdf,4,"Vegetable, seaweed, and nut and seed pulps and preparations",fflo:FoodCategory,,fflo:hasSubcategory,candied vegetables,fflo:FoodCategory,,0.9,pulps and preparations (e.g. ... candied vegetables)
src_pdf_005_chunk_0001,src_pdf_005,markdown/appendix_a_4.md,pdf,1,food category system,fflo:FoodCategory,,fflo:hasDefinition,a tool for assigning food additive uses in these Regulations,xsd:string,,0.95,The food category system is a tool for assigning food additive uses
src_pdf_005_chunk_0001,src_pdf_005,markdown/appendix_a_4.md,pdf,1,food category system,fflo:FoodStandard,,fflo:appliesTo,all foodstuffs,fkg:Food,,0.95,The food category system applies to all foodstuffs
src_pdf_005_chunk_0001,src_pdf_005,markdown/appendix_a_4.md,pdf,1,food category descriptors,fflo:FoodCategory,,UNMAPPED,labelling purposes,fflo:ObligationType,,0.95,not intended for labelling purposes
src_pdf_005_chunk_0001,src_pdf_005,markdown/appendix_a_4.md,pdf,1,food category system,fflo:FoodCategory,,fflo:hasDefinition,based on product descriptors of foodstuffs as marketed,xsd:string,,0.95,based on product descriptors of foodstuffs as marketed
src_pdf_005_chunk_0001,src_pdf_005,markdown/appendix_a_4.md,pdf,1,Dairy products and analogues,fflo:FoodCategory,,fflo:hasSubcategory,Milk and dairy-based drinks,fflo:FoodCategory,,0.95,1.0 Dairy products and analogues... 1.1 Milk and dairy-based drinks
